gene	gc
AGK	0.563
AGL	0.487
AGMAT	0.573
AGMO	0.364
AGO1	0.6205
AGO2	0.7315
AGO3	0.596
AGO4	0.653
AGPAT1	0.5005
AGPAT2	0.717
AGPAT3	0.5855
AGPAT4	0.4645
AGPAT5	0.6025
AGPAT6	0.581
AGPAT9	0.574
AGPS	0.533
AGR2	0.392
AGR3	0.3295
AGRN	0.7545
AGRP	0.569
AGT	0.5145
AGTPBP1	0.5985
AGTR1	0.4925
AGTR2	0.3225
AGTRAP	0.5675
AGXT	0.547
AGXT2	0.441
AHCTF1	0.6125
AHCY	0.5645
AHCYL1	0.595
AHCYL2	0.576
AHDC1	0.683
AHI1	0.497
AHNAK	0.6705
AHNAK2	0.693
AHR	0.572
AHRR	0.4685
AHSA1	0.5585
AHSA2	0.6315
AHSG	0.4925
AHSP	0.46
AICDA	0.373
AIDA	0.591
AIF1	0.5175
AIF1L	0.6335
AIFM1	0.517
AIFM2	0.559
AIFM3	0.6565
AIG1	0.5505
AIM1	0.578
AIM1L	0.613
AIM2	0.4135
AIMP1	0.5105
AIMP2	0.544
AIP	0.556
AIPL1	0.5865
AIRE	0.6735
AJAP1	0.774
AJUBA	0.612
AK1	0.6235
AK2	0.506
AK3	0.6145
AK4	0.664
AK5	0.6085
AK7	0.6045
AK8	0.604
AK9	0.5025
AKAP1	0.6205
AKAP10	0.5565
AKAP11	0.576
AKAP12	0.5805
AKAP13	0.586
AKAP14	0.5
AKAP17A	0.5405
AKAP2	0.5655
AKAP3	0.458
AKAP4	0.423
AKAP5	0.5365
AKAP6	0.4005
AKAP7	0.5265
AKAP8	0.6925
AKAP8L	0.5425
AKAP9	0.5305
AKIP1	0.62
AKIRIN1	0.5865
AKIRIN2	0.559
AKNA	0.4705
AKNAD1	0.4225
AKR1A1	0.4995
AKR1B1	0.543
AKR1B10	0.496
AKR1B15	0.4805
AKR1C1	0.3475
AKR1C2	0.347
AKR1C3	0.342
AKR1C4	0.3535
AKR1CL1	0.4045
AKR1D1	0.401
AKR1E2	0.63
AKR7A2	0.663
AKR7A3	0.5265
AKR7L	0.569
AKT1	0.6
AKT1S1	0.5945
AKT2	0.596
AKT3	0.74
AKTIP	0.635
AL009178.1	0.542
AL020996.1	0.628
AL021546.6	0.5065
AL022328.1	0.668
AL031320.1	0.3405
AL031590.1	0.55
AL031663.1	0.4955
AL031663.2	0.4515
AL031666.2	0.5055
AL033381.1	0.4845
AL035252.1	0.5725
AL035406.1	0.572
AL035588.1	0.494
AL035681.1	0.484
AL049747.1	0.4675
AL049829.1	0.564
AL049840.1	0.535
AL050302.1	0.564
AL050303.1	0.643
AL078585.1	0.43
AL079342.1	0.4765
AL096677.1	0.4535
AL109659.1	0.485
AL109927.1	0.4345
AL117190.2	0.5155
AL117190.3	0.519
AL118506.1	0.5775
AL121761.2	0.6305
AL121895.1	0.4815
AL121901.1	0.4945
AL121963.1	0.5545
AL132989.1	0.3575
AL133262.1	0.339
AL133318.1	0.484
AL133373.1	0.5535
AL133481.1	0.4485
AL135998.1	0.554
AL136115.1	0.376
AL136218.1	0.3645
AL136376.1	0.3735
AL136531.1	0.4965
AL137002.1	0.4785
AL137026.1	0.4865
AL138764.1	0.432
AL138815.1	0.441
AL138815.2	0.4545
AL138847.1	0.4035
AL139080.1	0.438
AL139099.1	0.637
AL139147.1	0.3945
AL139333.1	0.382
AL158091.1	0.6105
AL158147.2	0.405
AL160175.1	0.508
AL160274.1	0.406
AL160286.1	0.3595
AL161450.1	0.318
AL161645.2	0.6085
AL161784.1	0.4265
AL161915.1	0.491
AL162389.1	0.5585
AL162407.1	0.4265
AL162424.1	0.483
AL162431.1	0.471
AL163636.6	0.5255
AL353354.1	0.4665
AL353354.2	0.463
AL353583.1	0.4
AL353608.1	0.406
AL353698.1	0.3185
AL353791.1	0.4
AL354718.1	0.633
AL354808.2	0.3615
AL354898.1	0.5435
AL354993.1	0.3815
AL355390.1	0.4035
AL355490.1	0.599
AL355531.2	0.5065
AL356215.1	0.438
AL356356.1	0.655
AL357673.1	0.5035
AL358113.1	0.4245
AL358333.1	0.363
AL359091.2	0.4885
AL359195.1	0.4415
AL359693.1	0.3425
AL359736.1	0.45
AL359878.1	0.581
AL360004.1	0.521
AL360181.1	0.724
AL365202.1	0.323
AL390778.1	0.5705
AL391152.1	0.305
AL391421.1	0.502
AL441883.1	0.35
AL445665.1	0.5615
AL445989.1	0.3945
AL450307.1	0.456
AL513478.1	0.5095
AL583828.1	0.5555
AL589739.1	0.5785
AL589765.1	0.568
AL590235.1	0.5315
AL590452.1	0.3695
AL590483.1	0.398
AL590560.1	0.4815
AL590708.2	0.6665
AL590714.1	0.4705
AL590822.1	0.661
AL590822.2	0.6255
AL590867.1	0.358
AL591025.1	0.5155
AL591479.1	0.6465
AL591684.1	0.58
AL591806.1	0.473
AL592284.1	0.5375
AL596220.1	0.361
AL603965.1	0.568
AL606500.1	0.4485
AL626787.1	0.4765
AL627171.1	0.446
AL627171.2	0.3795
AL627309.1	0.553
AL645608.1	0.622
AL645608.2	0.3915
AL645728.1	0.631
AL645730.2	0.418
AL645922.1	0.6105
AL646016.1	0.4
AL669831.1	0.421
AL807752.1	0.6675
AL929472.1	0.4215
AL953854.2	0.3475
ALAD	0.5595
ALAS1	0.5925
ALAS2	0.4155
ALB	0.3165
ALCAM	0.595
ALDH16A1	0.5505
ALDH18A1	0.562
ALDH1A1	0.365
ALDH1A2	0.6125
ALDH1A3	0.6915
ALDH1B1	0.547
ALDH1L1	0.569
ALDH1L2	0.5775
ALDH2	0.5945
ALDH3A1	0.596
ALDH3A2	0.5705
ALDH3B1	0.6065
ALDH3B2	0.5725
ALDH4A1	0.553
ALDH5A1	0.5855
ALDH6A1	0.5495
ALDH7A1	0.532
ALDH8A1	0.381
ALDH9A1	0.5375
ALDOA	0.575
ALDOB	0.3715
ALDOC	0.539
ALG1	0.518
ALG10	0.4525
ALG10B	0.46
ALG11	0.53
ALG12	0.6645
ALG13	0.5485
ALG14	0.4455
ALG1L	0.497
ALG2	0.5805
ALG3	0.5625
ALG5	0.5315
ALG6	0.5575
ALG8	0.4945
ALG9	0.4825
ALK	0.601
ALKBH1	0.483
ALKBH2	0.515
ALKBH3	0.483
ALKBH4	0.616
ALKBH5	0.6595
ALKBH6	0.575
ALKBH7	0.5875
ALKBH8	0.4815
ALLC	0.519
ALMS1	0.5565
ALOX12	0.6495
ALOX12B	0.5695
ALOX15	0.554
ALOX15B	0.577
ALOX5	0.6735
ALOX5AP	0.42
ALOXE3	0.4895
ALPI	0.584
ALPK1	0.3465
ALPK2	0.4105
ALPK3	0.614
ALPL	0.66
ALPP	0.599
ALPPL2	0.5885
ALS2	0.5365
ALS2CL	0.6745
ALS2CR11	0.476
ALS2CR12	0.3865
ALX1	0.5315
ALX3	0.6485
ALX4	0.6335
ALYREF	0.672
AMACR	0.518
AMBN	0.353
AMBP	0.5595
AMBRA1	0.429
AMD1	0.5755
AMDHD1	0.589
AMDHD2	0.6745
AMELX	0.3555
AMELY	0.296
AMER1	0.642
AMER2	0.4945
AMER3	0.6415
AMFR	0.6445
AMH	0.669
AMHR2	0.519
AMICA1	0.4205
AMIGO1	0.631
AMIGO2	0.5975
AMIGO3	0.6335
AMMECR1	0.5725
AMMECR1L	0.681
AMN	0.6175
AMN1	0.5175
AMOT	0.464
AMOTL1	0.608
AMOTL2	0.631
AMPD1	0.3915
AMPD2	0.6325
AMPD3	0.6455
AMPH	0.591
AMT	0.5585
AMTN	0.326
AMY1A	0.424
AMY1B	0.4265
AMY1C	0.3685
AMY2A	0.3715
AMY2B	0.3395
AMZ1	0.641
AMZ2	0.611
ANAPC1	0.544
ANAPC10	0.4855
ANAPC11	0.671
ANAPC13	0.563
ANAPC15	0.5
ANAPC16	0.5215
ANAPC2	0.6665
ANAPC4	0.572
ANAPC5	0.4975
ANAPC7	0.526
ANG	0.5295
ANGEL1	0.5565
ANGEL2	0.5395
ANGPT1	0.407
ANGPT2	0.4395
ANGPT4	0.575
ANGPTL1	0.341
ANGPTL2	0.618
ANGPTL3	0.311
ANGPTL4	0.5885
ANGPTL5	0.342
ANGPTL6	0.5095
ANGPTL7	0.468
ANHX	0.6705
ANK1	0.731
ANK2	0.4225
ANK3	0.4255
ANKAR	0.3905
ANKDD1A	0.574
ANKDD1B	0.5135
ANKEF1	0.4915
ANKFN1	0.4455
ANKFY1	0.5635
ANKH	0.646
ANKHD1	0.616
ANKHD1-EIF4EBP3	0.606
ANKIB1	0.5915
ANKK1	0.589
ANKLE1	0.604
ANKLE2	0.6815
ANKMY1	0.6325
ANKMY2	0.619
ANKRA2	0.4995
ANKRD1	0.4255
ANKRD10	0.72
ANKRD11	0.7065
ANKRD12	0.6815
ANKRD13A	0.5535
ANKRD13B	0.691
ANKRD13C	0.554
ANKRD13D	0.7215
ANKRD16	0.737
ANKRD17	0.615
ANKRD18A	0.668
ANKRD18B	0.6005
ANKRD2	0.5785
ANKRD20A1	0.599
ANKRD20A2	0.5945
ANKRD20A3	0.6005
ANKRD20A4	0.6095
ANKRD22	0.3665
ANKRD23	0.573
ANKRD24	0.59
ANKRD26	0.5335
ANKRD27	0.6875
ANKRD28	0.669
ANKRD29	0.5595
ANKRD30A	0.539
ANKRD30B	0.588
ANKRD31	0.4875
ANKRD32	0.5165
ANKRD33	0.545
ANKRD33B	0.722
ANKRD34A	0.4595
ANKRD34B	0.608
ANKRD34C	0.55
ANKRD35	0.5645
ANKRD36	0.652
ANKRD37	0.573
ANKRD39	0.648
ANKRD40	0.5365
ANKRD42	0.5325
ANKRD44	0.6405
ANKRD45	0.4675
ANKRD46	0.513
ANKRD49	0.488
ANKRD50	0.623
ANKRD52	0.609
ANKRD53	0.5635
ANKRD54	0.548
ANKRD55	0.3875
ANKRD6	0.466
ANKRD60	0.5895
ANKRD61	0.438
ANKRD62	0.6335
ANKRD63	0.7395
ANKRD65	0.686
ANKRD66	0.3775
ANKRD7	0.472
ANKRD9	0.703
ANKS1A	0.567
ANKS1B	0.5905
ANKS3	0.5845
ANKS4B	0.3965
ANKS6	0.6075
ANKUB1	0.395
ANKZF1	0.583
ANLN	0.557
ANO1	0.6675
ANO10	0.5955
ANO2	0.53
ANO3	0.447
ANO4	0.4695
ANO5	0.607
ANO6	0.5855
ANO7	0.631
ANO8	0.6005
ANO9	0.685
ANP32A	0.6275
ANP32B	0.6895
ANP32D	0.4075
ANP32E	0.5085
ANPEP	0.64
ANTXR1	0.5565
ANTXR2	0.5865
ANTXRL	0.542
ANXA1	0.373
ANXA10	0.284
ANXA11	0.591
ANXA13	0.365
ANXA2	0.6235
ANXA2R	0.4315
ANXA3	0.4945
ANXA4	0.5735
ANXA5	0.5725
ANXA6	0.5725
ANXA7	0.5355
ANXA8	0.58
ANXA8L1	0.58
ANXA8L2	0.567
ANXA9	0.572
AOAH	0.409
AOC1	0.503
AOC2	0.533
AOC3	0.548
AOX1	0.482
AP000275.65	0.5715
AP000295.9	0.473
AP000304.1	0.3765
AP000304.12	0.38
AP000322.53	0.4065
AP000349.1	0.561
AP000350.10	0.5235
AP000350.4	0.4765
AP000679.2	0.6135
AP000688.1	0.497
AP000695.1	0.497
AP000708.1	0.5865
AP000721.4	0.554
AP000758.1	0.353
AP000769.1	0.538
AP000783.1	0.621
AP000867.1	0.6435
AP000889.3	0.5925
AP000974.1	0.5285
AP001024.1	0.429
AP001024.2	0.431
AP001055.1	0.59
AP001094.1	0.4655
AP001350.1	0.3355
AP001362.1	0.6565
AP001421.1	0.4125
AP001468.1	0.548
AP001579.1	0.589
AP001631.10	0.5545
AP001652.1	0.5165
AP001816.1	0.6765
AP001885.1	0.3915
AP001888.1	0.4975
AP001925.1	0.3875
AP002348.1	0.709
AP002353.1	0.3805
AP002884.2	0.4285
AP002884.3	0.335
AP002956.1	0.5245
AP003041.2	0.4195
AP003062.1	0.5305
AP003068.23	0.681
AP003733.1	0.624
AP003774.4	0.6035
AP005482.1	0.6785
AP006621.5	0.704
AP1AR	0.567
AP1B1	0.565
