gene	gc
PLOD1	0.53375
MFN2	0.5415
MIIP	0.527
TNFRSF8	0.5295
TNFRSF8	0.5535
TNFRSF1B	0.5895
MIR4632	0.5655
VPS13D	0.55575
SNORA59A	0.52475
SNORA59B	0.52475
AADACL4	0.49125
AADACL3	0.4685
C1orf158	0.43125
PRAMEF12	0.47175
PRAMEF1	0.44025
PRAMEF2	0.4355
PRAMEF8	0.46975
PRAMEF7	0.467
PRAMEF22	0.48275
PRAMEF5	0.43275
PRAMEF6	0.43175
PRAMEF15	0.42825
PRAMEF9	0.42825
PRAMEF16	0.4875
PRAMEF20	0.443
PRAMEF21	0.4895
PRAMEF15	0.42825
PRAMEF9	0.42825
PRAMEF17	0.487
PRAMEF20	0.44275
PRAMEF21	0.49
PDPN	0.5235
PDPN	0.518
PRDM2	0.51725
PRDM2	0.39775
PRDM2	0.46475
KAZN	0.5485
KAZN	0.60075
KAZN	0.51
KAZN	0.53325
TMEM51	0.55375
TMEM51	0.608
FHAD1	0.50175
EFHD2	0.57625
CTRC	0.50075
CELA2A	0.4685
CELA2B	0.46575
DNAJC16	0.542
DDI2	0.50275
RSC1A1	0.4015
PLEKHM2	0.5905
SLC25A34	0.62025
TMEM82	0.583
FBLIM1	0.62875
FBLIM1	0.554
FBLIM1	0.562
SPEN	0.569
C1orf64	0.486
CLCNKA	0.59575
CLCNKB	0.61
CLCNKB	0.601
C1orf144	0.493
NECAP2	0.49175
MIR3675	0.4565
MST1P2	0.58725
MIR3675	0.462
CROCC	0.55025
PADI1	0.50925
PADI3	0.5205
PADI4	0.50525
PADI6	0.52425
ARHGEF10L	0.597
ARHGEF10L	0.515
ACTL8	0.472
IGSF21	0.583
KLHDC7A	0.56675
PAX7	0.57475
MRTO4	0.497
PQLC2	0.58925
C1orf151-NBL1	0.47925
MINOS1	0.47925
NBL1	0.576
NBL1	0.59025
NBL1	0.61625
NBL1	0.6435
NBL1	0.64125
HTR6	0.61675
OTUD3	0.5045
PLA2G5	0.47025
PLA2G2F	0.5255
UBXN10	0.5485
VWA5B1	0.53325
FAM43B	0.594
CDA	0.522
PINK1	0.51375
LOC100506801	0.5305
NBPF3	0.5325
ALPL	0.58925
LDLRAD2	0.48525
CELA3B	0.51475
CELA3A	0.513
LINC00339	0.522
LINC00339	0.51825
CDC42	0.547
ZBTB40	0.4995
EPHA8	0.605
C1QA	0.56275
C1QC	0.592
C1QB	0.531
EPHB2	0.625
MIR4684	0.51075
KDM1A	0.48675
MIR3115	0.3835
C1orf213	0.53
C1orf213	0.53075
MDS2	0.50125
RPL11	0.4895
TCEB3	0.5315
PITHD1	0.49725
LYPLA2	0.53075
MIR378F	0.47625
PNRC2	0.486
LOC284632	0.47
GRHL3	0.48675
GRHL3	0.47675
GRHL3	0.5165
NIPAL3	0.53875
RCAN3	0.5485
RCAN3	0.53175
RCAN3	0.41875
RCAN3	0.4395
C1orf130	0.5475
SRRM1	0.56975
CLIC4	0.55475
RHD	0.47025
TMEM50A	0.49675
TMEM57	0.5415
LDLRAP1	0.59075
MAN1C1	0.6415
SEPN1	0.608
FAM54B	0.57875
FAM54B	0.583
FAM54B	0.5655
EXTL1	0.577
PDIK1L	0.5445
PDIK1L	0.55525
FAM110D	0.5475
ZNF593	0.57575
CNKSR1	0.51375
CNKSR1	0.51375
CATSPER4	0.5735
CEP85	0.511
SH3BGRL3	0.568
CD52	0.52475
LIN28A	0.57675
DHDDS	0.46125
HMGN2	0.57725
RPS6KA1	0.5665
RPS6KA1	0.564
MIR1976	0.53175
ARID1A	0.621
PIGV	0.52575
PIGV	0.5245
ZDHHC18	0.56125
SFN	0.5605
NUDC	0.489
TRNP1	0.622
WDTC1	0.56125
TMEM222	0.4895
LOC644961	0.5085
SYTL1	0.57225
GPR3	0.59
FAM76A	0.53525
STX12	0.47025
PPP1R8	0.47625
PPP1R8	0.47825
SCARNA1	0.38775
THEMIS2	0.544
SMPDL3B	0.4835
XKR8	0.583
ATPIF1	0.50375
SESN2	0.55775
MED18	0.48225
PHACTR4	0.521
PHACTR4	0.3645
RCC1	0.48275
SNHG3	0.48275
RCC1	0.53625
TRNAU1AP	0.4965
RAB42	0.57125
RAB42	0.5745
RNU11	0.46775
GMEB1	0.557
YTHDF2	0.5155
YTHDF2	0.51525
YTHDF2	0.5125
OPRD1	0.547
EPB41	0.57225
EPB41	0.51775
PTPRU	0.57425
MATN1-AS1	0.60525
ZCCHC17	0.49725
SERINC2	0.50775
SERINC2	0.4955
SERINC2	0.58325
SERINC2	0.589
LOC149086	0.47
LOC284551	0.4375
TINAGL1	0.57675
TINAGL1	0.54275
HCRTR1	0.5835
KHDRBS1	0.54
TMEM39B	0.526
KPNA6	0.50525
TXLNA	0.508
CCDC28B	0.563
IQCC	0.5655
DCDC2B	0.5265
EIF3I	0.51625
FAM167B	0.54225
LCK	0.54825
LCK	0.54075
HDAC1	0.527
TSSK3	0.5805
ZBTB8B	0.50175
ZBTB8A	0.50625
RBBP4	0.51425
RBBP4	0.5175
KIAA1522	0.604
KIAA1522	0.53925
S100PBP	0.5315
S100PBP	0.5295
HPCA	0.61675
ADC	0.542
ZNF362	0.602
ZSCAN20	0.4635
HMGB4	0.436
HMGB4	0.48175
LOC402779	0.46375
C1orf94	0.58475
C1orf94	0.5055
GJB5	0.493
GJB4	0.54925
GJB3	0.524
GJB3	0.56225
GJA4	0.5765
ZMYM1	0.45725
ZMYM4	0.4595
NCDN	0.557
TFAP2E	0.57825
EIF2C4	0.555
EIF2C1	0.541
EIF2C3	0.48125
TEKT2	0.53925
ADPRHL2	0.59575
MAP7D1	0.61475
THRAP3	0.49725
SH3D21	0.561
SH3D21	0.58025
MIR4255	0.41475
ZC3H12A	0.55825
DNALI1	0.49075
CDCA8	0.575
MANEAL	0.595
MANEAL	0.605
C1orf122	0.56675
UTP11L	0.4785
MIR3659	0.533
AKIRIN1	0.50225
NDUFS5	0.4905
MACF1	0.58725
KIAA0754	0.53175
BMP8A	0.63925
PPIE	0.499
MFSD2A	0.56
CAP1	0.51375
RLF	0.47925
TMCO2	0.4345
ZMPSTE24	0.4475
SMAP2	0.48475
SMAP2	0.48325
SMAP2	0.42575
SMAP2	0.3825
ZNF643	0.4715
ZNF642	0.45625
DEM1	0.476
ZNF684	0.42
NFYC	0.4775
NFYC	0.46575
MIR30E	0.41075
MIR30C1	0.456
KCNQ4	0.648
CTPS1	0.55275
SLFNL1-AS1	0.50425
GUCA2B	0.54175
RIMKLA	0.50875
PPCS	0.5295
CCDC30	0.38975
PPIH	0.462
YBX1	0.53275
C1orf50	0.5265
LOC100129924	0.5235
ERMAP	0.45625
ERMAP	0.41075
ZNF691	0.4495
SLC2A1-AS1	0.5775
FAM183A	0.45275
WDR65	0.45625
TMEM125	0.52575
TIE1	0.49925
MPL	0.51575
CDC20	0.52575
SZT2	0.48475
PTPRF	0.57975
KDM4A	0.50125
ST3GAL3	0.53975
ARTN	0.5945
IPO13	0.5595
DPH2	0.53175
ATP6V0B	0.56225
B4GALT2	0.59925
B4GALT2	0.61475
B4GALT2	0.63775
CCDC24	0.56275
KLF17	0.489
DMAP1	0.46875
RNF220	0.491
MIR5584	0.52425
C1orf228	0.533
KIF2C	0.5275
RPS8	0.52025
SNORD55	0.53025
SNORD46	0.53375
SNORD38A	0.53975
SNORD38B	0.5175
PLK3	0.568
BTBD19	0.60575
UROD	0.574
LOC400752	0.53775
HPDL	0.54925
TOE1	0.5065
MMACHC	0.5145
AKR1A1	0.4925
NASP	0.53025
TMEM69	0.52575
MAST2	0.517
TSPAN1	0.522
LURAP1	0.516
RAD54L	0.53075
UQCRH	0.6
NSUN4	0.5025
NSUN4	0.5175
FAAH	0.538
LOC729041	0.534
DMBX1	0.47725
MKNK1-AS1	0.45425
ATPAF1-AS1	0.4865
KIAA0494-AS1	0.46475
CYP4B1	0.456
CYP4X1	0.4795
CYP4Z1	0.389
CYP4A22	0.42725
PDZK1IP1-AS1	0.49425
CMPK1	0.5335
FOXE3	0.5985
FOXD2	0.56575
SLC5A9	0.51275
ELAVL4	0.43825
ELAVL4	0.37575
ELAVL4	0.3705
ELAVL4	0.39
CDKN2C	0.506
CDKN2C	0.5215
C1orf185	0.36825
RNF11	0.50475
OSBPL9	0.47025
OSBPL9	0.4705
BTF3L4	0.499
ZFYVE9	0.485
PRPF38A	0.442
GPX7	0.545
FAM159A	0.55
ZYG11B	0.46125
ZYG11A	0.50875
SCP2	0.5
SCP2	0.403
PODN	0.56725
PODN	0.57325
CPT2	0.4855
LOC100507564	0.5095
DMRTB1	0.5255
DIO1	0.49025
LRRC42	0.5855
TCEANC2	0.49025
MIR4781	0.493
MRPL37	0.504
ACOT11	0.55875
HEATR8	0.47
HEATR8-TTC4	0.47
TTC4	0.50425
C1orf177	0.54575
TMEM61	0.582
BSND	0.55125
PCSK9	0.56075
LOC100507634	0.54825
MIR4422	0.41325
PRKAA2	0.4665
C8A	0.39625
LOC100131060	0.583
FGGY	0.483
FGGY	0.4
HOOK1	0.47325
NFIA	0.432
NFIA	0.5195
NFIA	0.5585
INADL	0.51775
L1TD1	0.518
USP1	0.556
USP1	0.552
ANGPTL3	0.32275
ATG4C	0.414
FOXD3	0.6415
ALG6	0.491
EFCAB7	0.4095
DLEU2L	0.363
PGM1	0.49525
PGM1	0.4995
PGM1	0.40775
ROR1	0.549
UBE2U	0.46125
CACHD1	0.554
MIR4794	0.3755
RAVER2	0.48975
AK4	0.58775
AK4	0.6005
AK4	0.603
DNAJC6	0.4585
DNAJC6	0.44475
LEPROT	0.4935
LEPR	0.4905
LEPROT	0.4885
LEPR	0.47725
PDE4B	0.50975
PDE4B	0.49775
PDE4B	0.36175
PDE4B	0.38675
SGIP1	0.459
MIR3117	0.378
TCTEX1D1	0.43875
MIER1	0.486
MIER1	0.426
IL23R	0.3955
IL12RB2	0.44725
GADD45A	0.5235
GNG12-AS1	0.4925
LRRC7	0.3485
PIN1P1	0.4135
SRSF11	0.42175
HHLA3	0.46025
CTH	0.44125
ZRANB2-AS1	0.5205
ZRANB2-AS2	0.39625
FPGT	0.3835
FPGT-TNNI3K	0.3835
TNNI3K	0.32325
TYW3	0.45375
TYW3	0.45375
TYW3	0.45375
LHX8	0.45725
LHX8	0.4775
ACADM	0.4505
RABGGTB	0.43225
SNORD45C	0.43275
SNORD45A	0.4065
SNORD45B	0.37625
MSH4	0.4405
ST6GALNAC3	0.463
ST6GALNAC5	0.471
AK5	0.525
AK5	0.513
FAM73A	0.4295
NEXN	0.4995
DNAJB4	0.32375
GIPC2	0.5005
MGC27382	0.37525
PTGFR	0.44225
IFI44L	0.362
IFI44	0.38875
LPHN2	0.45175
PRKACB	0.45525
PRKACB	0.322
PRKACB	0.34675
PRKACB	0.3355
PRKACB	0.30625
SAMD13	0.46025
SAMD13	0.4035
SAMD13	0.37325
DNASE2B	0.425
DNASE2B	0.3575
RPF1	0.42775
WDR63	0.42125
MIR4423	0.409
LOC646626	0.4645
CYR61	0.51725
CLCA2	0.39775
CLCA1	0.406
CLCA4	0.36575
CLCA3P	0.398
SH3GLB1	0.496
HS2ST1	0.4955
LOC339524	0.484
LOC339524	0.525
LMO4	0.49
PKN2	0.48925
GBP6	0.43725
GBP1P1	0.4115
LRRC8B	0.4915
LRRC8B	0.421
LRRC8C	0.5335
LRRC8D	0.52575
LRRC8D	0.53625
ZNF326	0.47925
CDC7	0.45025
CDC7	0.44875
HSP90B3P	0.45125
BRDT	0.4825
BRDT	0.4715
EPHX4	0.4905
BTBD8	0.4475
KIAA1107	0.3735
C1orf146	0.43875
RPAP2	0.42725
RPL5	0.466
SNORD21	0.38475
SNORA66	0.381
MTF2	0.4565
CCDC18	0.48725
DR1	0.4665
FNBP1L	0.536
LOC100129046	0.4595
MIR760	0.54825
ABCD3	0.476
SLC44A3	0.45875
SLC44A3	0.461
LOC729970	0.55925
TMEM56	0.47675
TMEM56	0.484
TMEM56-RWDD3	0.48825
RWDD3	0.50875
FLJ31662	0.37925
PTBP2	0.49275
DPYD-AS1	0.36375
LOC729987	0.35325
SNX7	0.47725
LOC100129620	0.4905
LPPR4	0.4495
PALMD	0.4105
MIR548AA1	0.36725
AGL	0.44025
AGL	0.42975
AGL	0.4305
AGL	0.3355
SLC35A3	0.4725
HIAT1	0.474
TRMT13	0.43175
RTCA	0.46275
MIR553	0.4005
CDC14A	0.52425
GPR88	0.48325
VCAM1	0.3765
SLC30A7	0.4675
SLC30A7	0.46775
S1PR1	0.476
DNAJA1P5	0.327
RNPC3	0.43675
AMY2B	0.34625
ACTG1P4	0.413
AMY2A	0.37125
AMY1A	0.434
AMY1A	0.428
AMY1C	0.42775
AMY1B	0.426
AMY1A	0.434
AMY1A	0.42775
AMY1C	0.42775
AMY1B	0.42575
LOC100129138	0.40125
PRMT6	0.49275
NTNG1	0.498
NTNG1	0.51075
VAV3-AS1	0.51825
NBPF6	0.40625
FAM102B	0.47175
PRPF38B	0.47525
PRPF38B	0.476
FNDC7	0.374
STXBP3	0.46325
SRG7	0.4235
GPSM2	0.48325
TMEM167B	0.48825
SCARNA2	0.5285
KIAA1324	0.50125
KIAA1324	0.50225
KIAA1324	0.5065
SARS	0.48775
CELSR2	0.62
SYPL2	0.51
ATXN7L2	0.55375
CYB561D1	0.5445
CYB561D1	0.54375
GPR61	0.51975
GNAI3	0.45025
MIR197	0.38075
AMPD2	0.51075
AMPD2	0.533
AMPD2	0.5905
AMPD2	0.60875
GSTM4	0.525
GSTM2	0.51075
GSTM1	0.52575
GSTM5	0.52275
CSF1	0.5605
AHCYL1	0.532
AHCYL1	0.379
AHCYL1	0.37425
FAM40A	0.47875
UBL4B	0.54175
SLC6A17	0.54275
KCNC4	0.6315
RBM15	0.52575
PROK1	0.4565
CYMP	0.51725
CD53	0.403
CD53	0.43125
CEPT1	0.46675
CEPT1	0.46075
CHI3L2	0.45075
CHI3L2	0.46925
RP11-165H20.1	0.414
CHIA	0.3985
C1orf88	0.43175
ATP5F1	0.47225
C1orf162	0.40125
RAP1A	0.52175
LOC100506343	0.58875
DDX20	0.4875
CTTNBP2NL	0.47875
WNT2B	0.44525
WNT2B	0.6
CAPZA1	0.46775
MOV10	0.499
FAM19A3	0.51725
AKR7A2P1	0.4565
LRIG2	0.48625
MAGI3	0.5465
AP4B1-AS1	0.382
DCLRE1B	0.5135
HIPK1	0.519
HIPK1	0.39725
HIPK1	0.37225
OLFML3	0.444
SYCP1	0.41425
TSHB	0.3475
VANGL1	0.5545
VANGL1	0.5305
SLC22A15	0.462
MAB21L3	0.41175
ATP1A1	0.56425
ATP1A1	0.5795
ATP1A1	0.38675
MIR320B1	0.4615
CD2	0.3845
PTGFRN	0.54475
CD101	0.414
TTF2	0.4465
MIR942	0.42375
MAN1A2	0.50925
FAM46C	0.494
WDR3	0.453
HAO2	0.4295
HSD3B2	0.40525
HSD3B2	0.4085
HSD3B1	0.41725
HSD3BP4	0.42175
PHGDH	0.47225
FAM72B	0.582
HIST2H2BA	0.45775
EMBP1	0.46925
LOC100130000	0.44725
SRGAP2B	0.6
NBPF9	0.42275
SEC22B	0.40625
NOTCH2NL	0.508
NBPF10	0.41725
HFE2	0.41575
TXNIP	0.44725
ANKRD34A	0.45075
LIX1L	0.484
RBM8A	0.4835
PEX11B	0.51025
PEX11B	0.52
ITGA10	0.42825
ANKRD35	0.5125
PIAS3	0.54775
RNF115	0.47875
PDZK1	0.48
GPR89C	0.1915
HYDIN2	0.38725
PDIA3P	0.3995
CHD1L	0.49025
BCL9	0.4635
GJA8	0.42675
GPR89B	0.47525
GPR89C	0.373
NBPF15	0.47925
NBPF15	0.44575
NBPF16	0.41125
PPIAL4E	0.39775
NBPF16	0.4095
PPIAL4D	0.398
PPIAL4F	0.398
LOC645166	0.52125
LOC645166	0.64975
LOC388692	0.46125
FCGR1C	0.40575
PPIAL4A	0.396
PPIAL4B	0.396
PPIAL4C	0.396
FAM91A2	0.51875
LOC728855	0.524
FCGR1A	0.405
HIST2H4A	0.46275
HIST2H4B	0.46275
HIST2H2AA3	0.5165
HIST2H2AA4	0.5165
HIST2H3A	0.6065
HIST2H3C	0.6065
HIST2H2AC	0.499
BOLA1	0.491
VPS45	0.40275
PLEKHO1	0.56275
CA14	0.50675
C1orf54	0.47625
C1orf51	0.5085
MRPS21	0.476
PRPF3	0.47025
RPRD2	0.489
TARS2	0.47075
ECM1	0.5245
LINC00568	0.54125
ADAMTSL4	0.5765
MIR4257	0.602
SETDB1	0.485
ANXA9	0.52975
PRUNE	0.50775
BNIPL	0.4585
C1orf56	0.519
MLLT11	0.53975
GABPB2	0.50225
TNFAIP8L2	0.48225
TNFAIP8L2-SCNM1	0.48225
SCNM1	0.511
PIP5K1A	0.5105
PSMD4	0.4825
ZNF687	0.595
PSMB4	0.49975
CGN	0.5285
TUFT1	0.522
MIR554	0.41925
SNX27	0.5085
RIIAD1	0.4695
OAZ3	0.48025
OAZ3	0.434
LOC100132111	0.596
LCE5A	0.4535
CRCT1	0.48175
LCE3C	0.43325
LCE3B	0.42925
LCE2D	0.4505
LCE2C	0.44825
LCE2B	0.44675
LCE2A	0.4435
LCE4A	0.41425
C1orf68	0.4795
KPRP	0.44075
LCE1F	0.45775
LCE1E	0.45375
LCE1D	0.47075
LCE1B	0.40525
LCE1A	0.4565
LCE6A	0.45525
SMCP	0.4285
IVL	0.4785
SPRR4	0.4705
SPRR1A	0.47825
SPRR3	0.454
SPRR1B	0.4475
LELP1	0.44625
PRR9	0.44725
LOR	0.49775
S100A9	0.51325
S100A7A	0.48225
S100A1	0.58125
CHTOP	0.53175
SNAPIN	0.51075
NPR1	0.56025
INTS3	0.507
SLC27A3	0.58925
CREB3L4	0.513
CREB3L4	0.5205
RPS27	0.4865
UBAP2L	0.50575
UBAP2L	0.512
HAX1	0.49225
AQP10	0.47375
ATP8B2	0.59575
ATP8B2	0.62075
IL6R	0.56125
TDRD10	0.583
CHRNB2	0.5165
CKS1B	0.5145
MIR4258	0.4915
FLAD1	0.4905
LENEP	0.53525
ZBTB7B	0.6515
DCST1	0.556
ADAM15	0.5925
EFNA4	0.5995
EFNA3	0.59475
EFNA1	0.60425
SLC50A1	0.568
TRIM46	0.5635
TRIM46	0.602
MIR92B	0.608
MTX1	0.5725
HCN3	0.52675
FDPS	0.53325
FDPS	0.5295
RUSC1	0.5585
RUSC1	0.65075
RUSC1	0.6555
POU5F1P4	0.46825
ASH1L-AS1	0.51025
MSTO1	0.51375
MSTO2P	0.51475
DAP3	0.5335
DAP3	0.534
MSTO2P	0.4995
SYT11	0.50575
RXFP4	0.5515
LAMTOR2	0.57675
RAB25	0.52775
LMNA	0.60725
LMNA	0.58425
LMNA	0.557
SEMA4A	0.5585
SEMA4A	0.5355
SEMA4A	0.5355
SLC25A44	0.48325
PMF1	0.51275
PMF1-BGLAP	0.51275
BGLAP	0.591
TMEM79	0.49925
TMEM79	0.5405
C1orf182	0.456
RHBG	0.55425
TTC24	0.48325
APOA1BP	0.521
HAPLN2	0.47425
BCAN	0.54925
RRNAD1	0.52275
PRCC	0.52125
NTRK1	0.58925
NTRK1	0.61675
PEAR1	0.564
LRRC71	0.4955
CYCSP52	0.41175
KIRREL	0.5465
CD1D	0.473
CD1A	0.4185
CD1C	0.403
CD1E	0.43
OR10K1	0.385
OR10R2	0.3555
OR10Z1	0.39825
OR6K6	0.4205
MNDA	0.37075
PYHIN1	0.3715
IFI16	0.38725
CADM3	0.535
CADM3	0.53775
DARC	0.54375
DARC	0.538
FCER1A	0.3665
OR10J1	0.41075
APCS	0.4
DUSP23	0.515
FCRL6	0.469
SLAMF8	0.513
LOC100505633	0.4855
KCNJ9	0.469
ATP1A2	0.55075
ATP1A4	0.45
ATP1A4	0.4695
CASQ1	0.52225
PEA15	0.5245
SUMO1P3	0.40475
NCSTN	0.4355
NHLH1	0.53575
VANGL2	0.546
SLAMF7	0.3765
LY9	0.45875
KLHDC9	0.52825
KLHDC9	0.52875
NIT1	0.5135
NIT1	0.51375
NIT1	0.51375
UFC1	0.4885
USP21	0.52225
PPOX	0.544
NDUFS2	0.576
NDUFS2	0.54275
FCER1G	0.48625
TOMM40L	0.512
MIR5187	0.52275
PCP4L1	0.501
SDHC	0.46575
FCGR2A	0.43825
HSPA6	0.536
FCGR2C	0.4505
HSPA7	0.54375
FCGR2B	0.45
FCRLA	0.44025
FCRLB	0.47825
DUSP12	0.46975
ATF6	0.40125
NOS1AP	0.49925
MIR4654	0.397
MIR556	0.41975
NOS1AP	0.47
C1orf226	0.44975
C1orf226	0.488
UHMK1	0.47725
UHMK1	0.4565
UAP1	0.486
DDR2	0.4415
HSD17B7	0.44075
RGS4	0.39825
RGS4	0.3885
RGS4	0.385
RGS4	0.38625
NUF2	0.40575
PBX1	0.423
LRRC52	0.43725
MGST3	0.495
LOC440700	0.4615
UCK2	0.5105
MIR3658	0.45125
FMO9P	0.3705
POGK	0.5265
MAEL	0.43125
DUSP27	0.4635
POU2F1	0.54525
POU2F1	0.5475
POU2F1	0.36275
RCSD1	0.5265
MPZL1	0.509
DCAF6	0.50475
TIPRL	0.49025
SFT2D2	0.49725
TBX19	0.439
MIR557	0.44725
XCL1	0.38
MGC4473	0.40975
ATP1B1	0.5815
BLZF1	0.40425
C1orf112	0.43175
METTL11B	0.41025
MIR3119-2	0.35375
GORAB	0.41725
PRRX1	0.52275
C1orf129	0.3635
C1orf129	0.36225
FMO3	0.375
MIR1295B	0.37625
FMO6P	0.3915
FMO2	0.3855
FMO1	0.39725
FMO4	0.4195
TOP1P1	0.42875
PRRC2C	0.481
METTL13	0.48075
DNM3	0.5085
MIR3120	0.32375
C1orf105	0.36125
SUCO	0.46375
SUCO	0.46325
FASLG	0.4325
PRDX6	0.52
LOC730159	0.33475
KLHL20	0.41075
DARS2	0.47425
GAS5-AS1	0.438
ZBTB37	0.48025
RABGAP1L	0.48725
GPR52	0.3845
RABGAP1L	0.41925
RABGAP1L	0.39325
RABGAP1L	0.37425
RABGAP1L	0.37025
CACYBP	0.474
CACYBP	0.4785
TNN	0.4285
PAPPA2	0.4265
FAM5B	0.47125
RASAL2	0.4985
RASAL2	0.3465
TEX35	0.5145
C1orf220	0.5635
MIR4424	0.4005
RALGPS2	0.509
FAM20B	0.5305
TOR3A	0.5335
SOAT1	0.4985
AXDND1	0.49125
TDRD5	0.4965
TDRD5	0.49575
TDRD5	0.4825
TDRD5	0.34425
FAM163A	0.5415
TOR1AIP1	0.4615
CEP350	0.48075
QSOX1	0.537
FLJ23867	0.586
LHX4	0.6
XPR1	0.48
KIAA1614	0.5575
MR1	0.4405
IER5	0.55275
GM140	0.4635
CACNA1E	0.556
LINC00272	0.41775
RGSL1	0.40475
LOC284648	0.4955
NPL	0.464
DHX9	0.497
LAMC1	0.5385
LAMC2	0.44175
SMG7	0.5395
RGL1	0.46375
TSEN15	0.41275
C1orf21	0.537
RNF2	0.49225
SWT1	0.4625
SWT1	0.46425
HMCN1	0.43975
PRG4	0.34325
C1orf27	0.429
OCLM	0.358
PLA2G4A	0.3775
LOC440704	0.3515
RGS18	0.33675
RGS21	0.3035
RGS1	0.332
RGS13	0.343
RGS2	0.45225
TROVE2	0.4825
TROVE2	0.48525
CDC73	0.4505
MIR1278	0.3555
CFH	0.3505
CFHR3	0.3135
CFHR1	0.41275
CFHR4	0.33375
CFHR2	0.412
CFHR5	0.36475
CRB1	0.41725
CRB1	0.35525
C1orf53	0.444
LHX9	0.56825
LHX9	0.53125
NEK7	0.5065
PTPRC	0.33325
NR5A2	0.4075
FAM58BP	0.47125
CAMSAP2	0.5085
GPR25	0.58475
C1orf106	0.534
C1orf106	0.53225
IGFN1	0.52625
PKP1	0.5305
RPS10P7	0.47075
NAV1	0.57125
MIR5191	0.51975
NAV1	0.568
MIR1231	0.487
IPO9	0.472
SHISA4	0.563
SHISA4	0.562
TIMM17A	0.4675
RNPEP	0.50975
ELF3	0.55325
GPR37L1	0.53725
PTPRVP	0.57025
LGR6	0.6345
LGR6	0.5115
LGR6	0.52675
PPP1R12B	0.44525
PPP1R12B	0.37825
PPP1R12B	0.40325
KDM5B-AS1	0.52675
LOC641515	0.47625
LOC148709	0.53275
TMEM183A	0.47625
TMEM183B	0.476
PPFIA4	0.557
ADORA1	0.57875
BTG2	0.55025
PRELP	0.483
OPTC	0.50175
ATP2B4	0.49825
SNORA77	0.48675
LINC00260	0.48375
LAX1	0.4835
ZC3H11A	0.45875
ZBED6	0.45475
SNRPE	0.4735
SOX13	0.5805
MDM4	0.4785
NFASC	0.52925
NFASC	0.4825
CNTN2	0.567
TMCC2	0.51125
TMCC2	0.544
LEMD1-AS1	0.43
CDK18	0.5515
MFSD4	0.56375
LOC284581	0.39
FAM72A	0.543
AVPR1B	0.556
CTSE	0.49575
SRGAP2	0.3905
IKBKE	0.553
RASSF5	0.58275
RASSF5	0.52525
DYRK3	0.47325
MAPKAPK2	0.58575
IL19	0.46725
IL19	0.44975
IL20	0.42725
IL24	0.48675
PFKFB2	0.5075
C4BPB	0.39375
C4BPB	0.40125
C4BPB	0.40125
C4BPA	0.4055
CD55	0.483
CR2	0.4295
CR1	0.45575
CR1L	0.4475
CD46	0.45675
LOC148696	0.5345
MIR205HG	0.48425
MIR205	0.478
CAMK1G	0.4525
G0S2	0.5005
HSD11B1	0.399
