CHR	TSS	Gene-Symbol	Category	Strand	TS_ID	bigCategory	ID	DukeUq	RepeatMaskerFrac	geneGC
chr1	1167629	B3GALT6	WGS	1	B3GALT6	WGS	chr1_1166629_1168629	1	0.197	0.724
chr1	1182102	FAM132A	WGS	-1	FAM132A	WGS	chr1_1181102_1183102	1	0.038	0.714
chr1	1209213	UBE2J2	WGS	-1	UBE2J2	WGS	chr1_1208213_1210213	1	0.026	0.705
chr1	1215816	SCNN1D	WGS	1	SCNN1D	WGS	chr1_1214816_1216816	0.760583	0.65	0.5715
chr1	1243398	ACAP3	WGS	-1	ACAP3	WGS	chr1_1242398_1244398	1	0.1905	0.734
chr1	1243947	PUSL1	WGS	1	PUSL1	WGS	chr1_1242947_1244947	1	0.1905	0.753
chr1	1259989	CPSF3L	WGS	-1	CPSF3L	WGS	chr1_1258989_1260989	0.970417	0.2725	0.692
chr1	1260147	GLTPD1	WGS	1	GLTPD1	WGS	chr1_1259147_1261147	0.982	0.223	0.707
chr1	1266694	TAS1R3	WGS	1	TAS1R3	WGS	chr1_1265694_1267694	1	0	0.666
chr1	1284492	DVL1	WGS	-1	DVL1	WGS	chr1_1283492_1285492	0.933	0.2235	0.7545
chr1	1293915	MXRA8	WGS	-1	MXRA8	WGS	chr1_1292915_1294915	0.947708	0.1775	0.615
chr1	1310537	AURKAIP1	WGS	-1	AURKAIP1	WGS	chr1_1309537_1311537	0.909333	0.154	0.642
chr1	1334692	CCNL2	WGS	-1	CCNL2	WGS	chr1_1333692_1335692	1	0.0525	0.652
chr1	1334902	RP4-758J18.2	WGS	1	RP4-758J18.2	WGS	chr1_1333902_1335902	1	0.0525	0.655
chr1	1342693	MRPL20	WGS	-1	MRPL20	WGS	chr1_1341693_1343693	0.981708	0.3305	0.6395
chr1	1356650	ANKRD65	WGS	-1	ANKRD65	WGS	chr1_1355650_1357650	1	0.0735	0.686
chr1	1361508	TMEM88B	WGS	1	TMEM88B	WGS	chr1_1360508_1362508	0.936792	0.2105	0.647
chr1	1371051	VWA1	WGS	1	VWA1	WGS	chr1_1370051_1372051	1	0.05	0.691
chr1	1385069	ATAD3C	WGS	1	ATAD3C	WGS	chr1_1384069_1386069	0.7985	0.6315	0.4955
chr1	1407149	ATAD3B	WGS	1	ATAD3B	WGS	chr1_1406149_1408149	0.81375	0.3425	0.6065
chr1	1447555	ATAD3A	WGS	1	ATAD3A	WGS	chr1_1446555_1448555	0.82675	0.2415	0.6535
chr1	1475737	TMEM240	WGS	-1	TMEM240	WGS	chr1_1474737_1476737	0.9905	0.3695	0.748
chr1	1510249	SSU72	WGS	-1	SSU72	WGS	chr1_1509249_1511249	0.937917	0.2595	0.62
chr1	1510355	AL645728.1	WGS	1	AL645728.1	WGS	chr1_1509355_1511355	0.889042	0.3125	0.631
chr1	1535476	C1orf233	WGS	-1	C1orf233	WGS	chr1_1534476_1536476	1	0.1935	0.7435
chr1	1550823	MIB2	WGS	1	MIB2	WGS	chr1_1549823_1551823	0.966125	0.304	0.6845
chr1	1567474	MMP23B	WGS	1	MMP23B	WGS	chr1_1566474_1568474	0.8405	0.017	0.7265
chr1	1588935	CDK11B	WGS	-1	CDK11B	WGS	chr1_1587935_1589935	0.614042	0.6205	0.4335
chr1	1624083	SLC35E2B	WGS	-1	SLC35E2B	WGS	chr1_1623083_1625083	0.57325	0.193	0.65
chr1	1655763	CDK11A	WGS	-1	CDK11A	WGS	chr1_1654763_1656763	0.583125	0.4195	0.5575
chr1	1677431	SLC35E2	WGS	-1	SLC35E2	WGS	chr1_1676431_1678431	0.568	0.108	0.6405
chr1	1709909	NADK	WGS	-1	NADK	WGS	chr1_1708909_1710909	1	0.1115	0.6685
chr1	1822495	GNB1	WGS	-1	GNB1	WGS	chr1_1821495_1823495	1	0.2355	0.7655
chr1	1846266	CALML6	WGS	1	CALML6	WGS	chr1_1845266_1847266	1	0	0.613
chr1	1850712	TMEM52	WGS	-1	TMEM52	WGS	chr1_1849712_1851712	1	0.126	0.7
chr1	1887154	C1orf222	WGS	-1	C1orf222	WGS	chr1_1886154_1888154	0.983417	0.0735	0.614
chr1	1950780	GABRD	WGS	1	GABRD	WGS	chr1_1949780_1951780	0.9885	0.1095	0.684
chr1	1981909	PRKCZ	WGS	1	PRKCZ	WGS	chr1_1980909_1982909	1	0.1015	0.7205
chr1	2126213	C1orf86	WGS	-1	C1orf86	WGS	chr1_2125213_2127213	1	0.1145	0.705
chr1	2121237	AL590822.2	WGS	1	AL590822.2	WGS	chr1_2120237_2122237	0.865208	0.351	0.6255
chr1	2145620	AL590822.1	WGS	-1	AL590822.1	WGS	chr1_2144620_2146620	1	0.1075	0.661
chr1	2160134	SKI	WGS	1	SKI	WGS	chr1_2159134_2161134	1	0.403	0.786
chr1	2323146	MORN1	WGS	-1	MORN1	WGS	chr1_2322146_2324146	0.939833	0.1725	0.661
chr1	2258581	AL589739.1	WGS	1	AL589739.1	WGS	chr1_2257581_2259581	0.9375	0.2905	0.5785
chr1	2323272	RER1	WGS	1	RER1	WGS	chr1_2322272_2324272	0.955708	0.131	0.6625
chr1	2343969	PEX10	WGS	-1	PEX10	WGS	chr1_2342969_2344969	0.972958	0.2055	0.7085
chr1	2398898	PLCH2	WGS	1	PLCH2	WGS	chr1_2397898_2399898	1	0.042	0.6805
chr1	2458039	PANK4	WGS	-1	PANK4	WGS	chr1_2457039_2459039	1	0.172	0.66
chr1	2461684	HES5	WGS	-1	HES5	WGS	chr1_2460684_2462684	1	0.188	0.7035
chr1	2487805	TNFRSF14	WGS	1	TNFRSF14	WGS	chr1_2486805_2488805	1	0.0125	0.658
chr1	2518214	FAM213B	WGS	1	FAM213B	WGS	chr1_2517214_2519214	1	0.1075	0.704
chr1	2564429	MMEL1	WGS	-1	MMEL1	WGS	chr1_2563429_2565429	1	0.018	0.6195
chr1	2706236	TTC34	WGS	-1	TTC34	WGS	chr1_2705236_2707236	0.966	0.2115	0.6605
chr1	2938046	ACTRT2	WGS	1	ACTRT2	WGS	chr1_2937046_2939046	0.99975	0	0.596
chr1	2985775	PRDM16	WGS	1	PRDM16	WGS	chr1_2984775_2986775	0.9995	0.2065	0.7225
chr1	3370990	ARHGEF16	WGS	1	ARHGEF16	WGS	chr1_3369990_3371990	1	0.1275	0.6905
chr1	3528059	MEGF6	WGS	-1	MEGF6	WGS	chr1_3527059_3529059	1	0.1625	0.6685
chr1	3541566	TPRG1L	WGS	1	TPRG1L	WGS	chr1_3540566_3542566	1	0.154	0.678
chr1	3566637	WRAP73	WGS	-1	WRAP73	WGS	chr1_3565637_3567637	0.997	0.2235	0.5705
chr1	3569084	TP73	WGS	1	TP73	WGS	chr1_3568084_3570084	1	0.083	0.717
chr1	3668962	CCDC27	WGS	1	CCDC27	WGS	chr1_3667962_3669962	0.82275	0.444	0.541
chr1	3689352	SMIM1	WGS	1	SMIM1	WGS	chr1_3688352_3690352	1	0.1505	0.6985
chr1	3713068	LRRC47	WGS	-1	LRRC47	WGS	chr1_3712068_3714068	0.988	0.363	0.5925
chr1	3773763	CEP104	WGS	-1	CEP104	WGS	chr1_3772763_3774763	0.942125	0.199	0.651
chr1	3773845	DFFB	WGS	1	DFFB	WGS	chr1_3772845_3774845	0.968	0.158	0.651
chr1	3816849	C1orf174	WGS	-1	C1orf174	WGS	chr1_3815849_3817849	1	0.3205	0.644
chr1	4715105	AJAP1	WGS	1	AJAP1	WGS	chr1_4714105_4716105	1	0.2245	0.774
chr1	6052531	NPHP4	WGS	-1	NPHP4	WGS	chr1_6051531_6053531	0.9985	0.149	0.7055
chr1	6105981	KCNAB2	WGS	1	KCNAB2	WGS	chr1_6104981_6106981	1	0	0.558
chr1	6101399	AL035406.1	WGS	-1	AL035406.1	WGS	chr1_6100399_6102399	1	0.022	0.572
chr1	6240183	CHD5	WGS	-1	CHD5	WGS	chr1_6239183_6241183	1	0.073	0.7355
chr1	6259672	RPL22	WGS	-1	RPL22	WGS	chr1_6258672_6260672	1	0.222	0.55
chr1	6266236	RNF207	WGS	1	RNF207	WGS	chr1_6265236_6267236	0.928458	0.2465	0.647
chr1	6296000	ICMT	WGS	-1	ICMT	WGS	chr1_6295000_6297000	0.881708	0.4085	0.627
chr1	6304252	HES3	WGS	1	HES3	WGS	chr1_6303252_6305252	1	0.0995	0.619
chr1	6321035	GPR153	WGS	-1	GPR153	WGS	chr1_6320035_6322035	1	0.227	0.7415
chr1	6445873	ACOT7	WGS	-1	ACOT7	WGS	chr1_6444873_6446873	0.981292	0.4245	0.557
chr1	6479979	HES2	WGS	-1	HES2	WGS	chr1_6478979_6480979	1	0.097	0.716
chr1	6484848	ESPN	WGS	1	ESPN	WGS	chr1_6483848_6485848	1	0.083	0.686
chr1	6526235	TNFRSF25	WGS	-1	TNFRSF25	WGS	chr1_6525235_6527235	0.965375	0.277	0.6385
chr1	6557156	PLEKHG5	WGS	-1	PLEKHG5	WGS	chr1_6556156_6558156	1	0.287	0.669
chr1	6614595	NOL9	WGS	-1	NOL9	WGS	chr1_6613595_6615595	0.924917	0.1995	0.6025
chr1	6615241	TAS1R1	WGS	1	TAS1R1	WGS	chr1_6614241_6616241	0.870833	0.1995	0.5885
chr1	6640108	ZBTB48	WGS	1	ZBTB48	WGS	chr1_6639108_6641108	1	0	0.6245
chr1	6662929	KLHL21	WGS	-1	KLHL21	WGS	chr1_6661929_6663929	1	0.05	0.683
chr1	6673745	PHF13	WGS	1	PHF13	WGS	chr1_6672745_6674745	1	0.183	0.7295
chr1	6684926	THAP3	WGS	1	THAP3	WGS	chr1_6683926_6685926	0.938458	0.241	0.5905
chr1	6761984	DNAJC11	WGS	-1	DNAJC11	WGS	chr1_6760984_6762984	0.951875	0.149	0.595
chr1	6845384	CAMTA1	WGS	1	CAMTA1	WGS	chr1_6844384_6846384	1	0.1605	0.7465
chr1	7831329	VAMP3	WGS	1	VAMP3	WGS	chr1_7830329_7832329	1	0.1605	0.5625
chr1	7844763	PER3	WGS	1	PER3	WGS	chr1_7843763_7845763	1	0.1565	0.645
chr1	7913491	UTS2	WGS	-1	UTS2	WGS	chr1_7912491_7914491	0.873792	0.3405	0.408
chr1	8000926	TNFRSF9	WGS	-1	TNFRSF9	WGS	chr1_7999926_8001926	0.958583	0.242	0.4495
chr1	8021752	PARK7	WGS	1	PARK7	WGS	chr1_8020752_8022752	1	0.2545	0.4985
chr1	8086368	ERRFI1	WGS	-1	ERRFI1	WGS	chr1_8085368_8087368	1	0.244	0.6615
chr1	8377886	SLC45A1	WGS	1	SLC45A1	WGS	chr1_8376886_8378886	0.919708	0.453	0.6025
chr1	8877524	RERE	WGS	-1	RERE	WGS	chr1_8876524_8878524	0.996292	0.0735	0.554
chr1	8938749	ENO1	WGS	-1	ENO1	WGS	chr1_8937749_8939749	0.966458	0.1175	0.632
chr1	9005946	CA6	WGS	1	CA6	WGS	chr1_9004946_9006946	0.886667	0.1985	0.5035
chr1	9086404	SLC2A7	WGS	-1	SLC2A7	WGS	chr1_9085404_9087404	0.807208	0.459	0.5485
chr1	9129775	SLC2A5	WGS	-1	SLC2A5	WGS	chr1_9128775_9130775	0.904958	0.289	0.4725
chr1	9189229	GPR157	WGS	-1	GPR157	WGS	chr1_9188229_9190229	1	0.1295	0.668
chr1	9294834	H6PD	WGS	1	H6PD	WGS	chr1_9293834_9295834	0.944542	0.3795	0.626
chr1	9352939	SPSB1	WGS	1	SPSB1	WGS	chr1_9351939_9353939	1	0.2345	0.6995
chr1	9599541	SLC25A33	WGS	1	SLC25A33	WGS	chr1_9598541_9600541	0.951833	0.1425	0.627
chr1	9648980	TMEM201	WGS	1	TMEM201	WGS	chr1_9647980_9649980	0.876083	0.382	0.6685
chr1	9711803	PIK3CD	WGS	1	PIK3CD	WGS	chr1_9710803_9712803	0.973458	0.301	0.6165
chr1	9714644	C1orf200	WGS	-1	C1orf200	WGS	chr1_9713644_9715644	0.923208	0.239	0.5235
chr1	9884584	CLSTN1	WGS	-1	CLSTN1	WGS	chr1_9883584_9885584	1	0.18	0.6715
chr1	9970321	CTNNBIP1	WGS	-1	CTNNBIP1	WGS	chr1_9969321_9971321	1	0.1765	0.646
chr1	10003387	LZIC	WGS	-1	LZIC	WGS	chr1_10002387_10004387	0.894083	0.1935	0.5245
chr1	10003486	NMNAT1	WGS	1	NMNAT1	WGS	chr1_10002486_10004486	0.894083	0.2045	0.5265
chr1	10057274	RBP7	WGS	1	RBP7	WGS	chr1_10056274_10058274	0.940542	0.342	0.615
chr1	10093654	UBE4B	WGS	1	UBE4B	WGS	chr1_10092654_10094654	1	0.025	0.5255
chr1	10270863	KIF1B	WGS	1	KIF1B	WGS	chr1_10269863_10271863	1	0.016	0.6735
chr1	10459137	PGD	WGS	1	PGD	WGS	chr1_10458137_10460137	0.969542	0.1535	0.6235
chr1	10490159	APITD1	WGS	1	APITD1	WGS	chr1_10489159_10491159	0.954625	0.488	0.5865
chr1	10490159	APITD1-CORT	WGS	1	APITD1-CORT	WGS	chr1_10489159_10491159	0.954625	0.488	0.5865
chr1	10509776	CORT	WGS	1	CORT	WGS	chr1_10508776_10510776	0.799458	0.4065	0.542
chr1	10532583	DFFA	WGS	-1	DFFA	WGS	chr1_10531583_10533583	0.957083	0.2385	0.501
chr1	10534944	PEX14	WGS	1	PEX14	WGS	chr1_10533944_10535944	0.882333	0.352	0.5425
chr1	10856705	CASZ1	WGS	-1	CASZ1	WGS	chr1_10855705_10857705	0.984625	0.137	0.62
chr1	11042094	C1orf127	WGS	-1	C1orf127	WGS	chr1_11041094_11043094	0.844625	0.487	0.5075
chr1	11072699	TARDBP	WGS	1	TARDBP	WGS	chr1_11071699_11073699	0.99125	0.361	0.57
chr1	11107280	MASP2	WGS	-1	MASP2	WGS	chr1_11106280_11108280	0.83575	0.402	0.59
chr1	11120081	SRM	WGS	-1	SRM	WGS	chr1_11119081_11121081	1	0.1025	0.653
chr1	11159938	EXOSC10	WGS	-1	EXOSC10	WGS	chr1_11158938_11160938	0.914125	0.37	0.5415
chr1	11322564	MTOR	WGS	-1	MTOR	WGS	chr1_11321564_11323564	0.956583	0.2365	0.528
chr1	11249398	ANGPTL7	WGS	1	ANGPTL7	WGS	chr1_11248398_11250398	1	0.034	0.468
chr1	11333263	UBIAD1	WGS	1	UBIAD1	WGS	chr1_11332263_11334263	0.919958	0.382	0.592
chr1	11539295	PTCHD2	WGS	1	PTCHD2	WGS	chr1_11538295_11540295	1	0.0225	0.695
chr1	11714739	FBXO2	WGS	-1	FBXO2	WGS	chr1_11713739_11715739	1	0.148	0.6835
chr1	11714914	FBXO44	WGS	1	FBXO44	WGS	chr1_11713914_11715914	0.999	0.196	0.6715
chr1	11724181	FBXO6	WGS	1	FBXO6	WGS	chr1_11723181_11725181	0.880625	0.362	0.606
chr1	11751707	MAD2L2	WGS	-1	MAD2L2	WGS	chr1_11750707_11752707	0.997708	0.1305	0.71
chr1	11751786	DRAXIN	WGS	1	DRAXIN	WGS	chr1_11750786_11752786	0.997708	0.1305	0.7125
chr1	11796212	AGTRAP	WGS	1	AGTRAP	WGS	chr1_11795212_11797212	0.973042	0.301	0.5675
chr1	11821844	C1orf167	WGS	1	C1orf167	WGS	chr1_11820844_11822844	0.894167	0.301	0.5685
chr1	11863302	MTHFR	WGS	-1	MTHFR	WGS	chr1_11862302_11864302	0.957458	0.083	0.5385
chr1	11866268	CLCN6	WGS	1	CLCN6	WGS	chr1_11865268_11867268	1	0.0175	0.6035
chr1	11907840	NPPA	WGS	-1	NPPA	WGS	chr1_11906840_11908840	0.955792	0.08	0.556
chr1	11918988	NPPB	WGS	-1	NPPB	WGS	chr1_11917988_11919988	0.979917	0.0475	0.5965
chr1	11986480	KIAA2013	WGS	-1	KIAA2013	WGS	chr1_11985480_11987480	0.71825	0.3985	0.6415
chr1	11994810	PLOD1	WGS	1	PLOD1	WGS	chr1_11993810_11995810	0.893583	0.5255	0.5655
chr1	12040369	MFN2	WGS	1	MFN2	WGS	chr1_12039369_12041369	0.931083	0.317	0.594
chr1	12079523	MIIP	WGS	1	MIIP	WGS	chr1_12078523_12080523	0.848083	0.3735	0.5735
chr1	12123434	TNFRSF8	WGS	1	TNFRSF8	WGS	chr1_12122434_12124434	0.797292	0.2615	0.584
chr1	12227060	TNFRSF1B	WGS	1	TNFRSF1B	WGS	chr1_12226060_12228060	0.969417	0.2145	0.6095
chr1	12290124	VPS13D	WGS	1	VPS13D	WGS	chr1_12289124_12291124	0.9965	0.424	0.6125
chr1	12677737	DHRS3	WGS	-1	DHRS3	WGS	chr1_12676737_12678737	1	0.0365	0.5895
chr1	12704566	AADACL4	WGS	1	AADACL4	WGS	chr1_12703566_12705566	0.938167	0.3985	0.5115
chr1	12776146	AADACL3	WGS	1	AADACL3	WGS	chr1_12775146_12777146	0.9985	0.324	0.4775
chr1	12806163	C1orf158	WGS	1	C1orf158	WGS	chr1_12805163_12807163	0.937792	0.296	0.434
chr1	12834984	PRAMEF12	WGS	1	PRAMEF12	WGS	chr1_12833984_12835984	0.997	0.1	0.476
chr1	12851546	PRAMEF1	WGS	1	PRAMEF1	WGS	chr1_12850546_12852546	0.524292	0.2835	0.4195
chr1	12891264	PRAMEF11	WGS	-1	PRAMEF11	WGS	chr1_12890264_12892264	0.406875	0.4895	0.4395
chr1	12908578	HNRNPCL1	WGS	-1	HNRNPCL1	WGS	chr1_12907578_12909578	0.761042	0.155	0.452
chr1	12916941	PRAMEF2	WGS	1	PRAMEF2	WGS	chr1_12915941_12917941	0.631125	0.276	0.411
chr1	12946025	PRAMEF4	negativeControl	-1	PRAMEF4	WGS	chr1_12945025_12947025	0.357292	0.497	0.442
chr1	12958101	PRAMEF10	WGS	-1	PRAMEF10	WGS	chr1_12957101_12959101	0.387417	0.486	0.4375
chr1	12976450	PRAMEF7	negativeControl	1	PRAMEF7	WGS	chr1_12975450_12977450	0.38225	0.0815	0.417
chr1	13007420	PRAMEF6	negativeControl	-1	PRAMEF6	WGS	chr1_13006420_13008420	0.166042	0.4865	0.4405
chr1	13035543	PRAMEF22	WGS	1	PRAMEF22	WGS	chr1_13034543_13036543	0.21375	0.2495	0.502
chr1	13052998	WI2-3308P17.2	WGS	-1	WI2-3308P17.2	WGS	chr1_13051998_13053998	0.118	0.1085	0.2255
chr1	13219581	PRAMEF26	WGS	-1	PRAMEF26	WGS	chr1_13218581_13220581	0.208417	0.1355	0.328
chr1	13331692	PRAMEF3	WGS	-1	PRAMEF3	WGS	chr1_13330692_13332692	0.2165	0.2605	0.5055
chr1	13359819	PRAMEF5	negativeControl	1	PRAMEF5	WGS	chr1_13358819_13360819	0.171	0.4865	0.4415
chr1	13390765	PRAMEF8	negativeControl	-1	PRAMEF8	WGS	chr1_13389765_13391765	0.310875	0.082	0.4195
chr1	13421176	PRAMEF9	negativeControl	1	PRAMEF9	WGS	chr1_13420176_13422176	0.229667	0.4875	0.4415
chr1	13452656	PRAMEF13	WGS	-1	PRAMEF13	WGS	chr1_13451656_13453656	0.346833	0.2915	0.42
chr1	13477522	PRAMEF18	negativeControl	-1	PRAMEF18	WGS	chr1_13476522_13478522	0.255958	0.3015	0.5265
chr1	13495254	PRAMEF16	WGS	1	PRAMEF16	WGS	chr1_13494254_13496254	0.311625	0.295	0.515
chr1	13516066	PRAMEF21	WGS	1	PRAMEF21	WGS	chr1_13515066_13517066	0.39425	0.5635	0.4695
chr1	13641973	PRAMEF15	negativeControl	1	PRAMEF15	WGS	chr1_13640973_13642973	0.229667	0.4875	0.4415
chr1	13673511	PRAMEF14	WGS	-1	PRAMEF14	WGS	chr1_13672511_13674511	0.346833	0.299	0.42
chr1	13698405	PRAMEF19	negativeControl	-1	PRAMEF19	WGS	chr1_13697405_13699405	0.255958	0.3015	0.5325
chr1	13716092	PRAMEF17	negativeControl	1	PRAMEF17	WGS	chr1_13715092_13717092	0.307208	0.3045	0.5145
chr1	13736907	PRAMEF20	negativeControl	1	PRAMEF20	WGS	chr1_13735907_13737907	0.3925	0.5635	0.469
chr1	13840543	LRRC38	WGS	-1	LRRC38	WGS	chr1_13839543_13841543	1	0.1875	0.6425
chr1	13909960	PDPN	WGS	1	PDPN	WGS	chr1_13908960_13910960	1	0.1055	0.5465
chr1	14031350	PRDM2	WGS	1	PRDM2	WGS	chr1_14030350_14032350	0.9305	0.077	0.3895
chr1	14925200	KAZN	WGS	1	KAZN	WGS	chr1_14924200_14926200	1	0.0705	0.666
chr1	15479028	TMEM51	WGS	1	TMEM51	WGS	chr1_15478028_15480028	0.999	0.1755	0.572
chr1	15497813	C1orf195	WGS	-1	C1orf195	WGS	chr1_15496813_15498813	0.803667	0.8525	0.52
chr1	15632276	FHAD1	WGS	1	FHAD1	WGS	chr1_15631276_15633276	0.709917	0.887	0.4705
chr1	15736391	EFHD2	WGS	1	EFHD2	WGS	chr1_15735391_15737391	1	0.136	0.6735
chr1	15764935	CTRC	WGS	1	CTRC	WGS	chr1_15763935_15765935	0.8035	0.6565	0.508
chr1	15783224	CELA2A	WGS	1	CELA2A	WGS	chr1_15782224_15784224	0.799625	0.438	0.503
chr1	15802596	CELA2B	WGS	1	CELA2B	WGS	chr1_15801596_15803596	0.827875	0.451	0.487
chr1	15850790	CASP9	WGS	-1	CASP9	WGS	chr1_15849790_15851790	0.998	0.5255	0.609
chr1	15853308	DNAJC16	WGS	1	DNAJC16	WGS	chr1_15852308_15854308	1	0.299	0.5035
chr1	15911605	AGMAT	WGS	-1	AGMAT	WGS	chr1_15910605_15912605	0.709458	0.486	0.573
chr1	15943995	DDI2	WGS	1	DDI2	WGS	chr1_15942995_15944995	1	0.236	0.5595
chr1	15986364	RSC1A1	WGS	1	RSC1A1	WGS	chr1_15985364_15987364	1	0.078	0.3895
chr1	16010827	PLEKHM2	WGS	1	PLEKHM2	WGS	chr1_16009827_16011827	1	0.3575	0.699
chr1	16062900	SLC25A34	WGS	1	SLC25A34	WGS	chr1_16061900_16063900	0.94975	0.169	0.631
chr1	16068917	TMEM82	WGS	1	TMEM82	WGS	chr1_16067917_16069917	0.88	0.1815	0.62
chr1	16090994	FBLIM1	WGS	1	FBLIM1	WGS	chr1_16089994_16091994	0.849875	0.33	0.5735
chr1	16174359	SPEN	WGS	1	SPEN	WGS	chr1_16173359_16175359	0.933417	0.194	0.6855
chr1	16302621	ZBTB17	WGS	-1	ZBTB17	WGS	chr1_16301621_16303621	0.967208	0.482	0.545
chr1	16330731	C1orf64	WGS	1	C1orf64	WGS	chr1_16329731_16331731	0.707667	0.46	0.5185
chr1	16345285	HSPB7	WGS	-1	HSPB7	WGS	chr1_16344285_16346285	1	0.155	0.609
chr1	16348547	CLCNKA	WGS	1	CLCNKA	WGS	chr1_16347547_16349547	0.89825	0.1225	0.6095
chr1	16370272	CLCNKB	WGS	1	CLCNKB	WGS	chr1_16369272_16371272	0.8935	0.1935	0.617
chr1	16400121	FAM131C	WGS	-1	FAM131C	WGS	chr1_16399121_16401121	1	0.2825	0.6325
chr1	16482582	EPHA2	WGS	-1	EPHA2	WGS	chr1_16481582_16483582	1	0.084	0.6165
chr1	16539104	ARHGEF19	WGS	-1	ARHGEF19	WGS	chr1_16538104_16540104	1	0.1435	0.548
chr1	16556038	C1orf134	WGS	-1	C1orf134	WGS	chr1_16555038_16557038	0.854583	0.382	0.557
chr1	16563657	RSG1	WGS	-1	RSG1	WGS	chr1_16562657_16564657	1	0.29	0.5495
chr1	16678949	FBXO42	WGS	-1	FBXO42	WGS	chr1_16677949_16679949	1	0.2085	0.5705
chr1	16693578	SZRD1	WGS	1	SZRD1	WGS	chr1_16692578_16694578	0.833792	0.2555	0.548
chr1	16763919	SPATA21	WGS	-1	SPATA21	WGS	chr1_16762919_16764919	0.804375	0.7835	0.4675
chr1	16767231	NECAP2	WGS	1	NECAP2	WGS	chr1_16766231_16768231	0.926083	0.1785	0.5575
chr1	16865561	FAM231B	WGS	1	FAM231B	WGS	chr1_16864561_16866561	0.549	0.2425	0.4815
chr1	16939982	NBPF1	WGS	-1	NBPF1	WGS	chr1_16938982_16940982	0.892667	0.076	0.571
chr1	16999498	FAM231A	WGS	1	FAM231A	WGS	chr1_16998498_17000498	0.398333	0.3845	0.511
chr1	17060956	FAM231C	WGS	-1	FAM231C	WGS	chr1_17059956_17061956	0.396083	0.385	0.5115
chr1	17248445	CROCC	WGS	1	CROCC	WGS	chr1_17247445_17249445	0.952625	0.2435	0.5805
chr1	17307330	MFAP2	WGS	-1	MFAP2	WGS	chr1_17306330_17308330	1	0.466	0.6295
chr1	17338267	ATP13A2	WGS	-1	ATP13A2	WGS	chr1_17337267_17339267	0.972875	0.2105	0.649
chr1	17380665	SDHB	WGS	-1	SDHB	WGS	chr1_17379665_17381665	0.764125	0.541	0.5585
chr1	17445930	PADI2	WGS	-1	PADI2	WGS	chr1_17444930_17446930	1	0.153	0.627
chr1	17531621	PADI1	WGS	1	PADI1	WGS	chr1_17530621_17532621	1	0.312	0.522
chr1	17575593	PADI3	WGS	1	PADI3	WGS	chr1_17574593_17576593	0.845583	0.4425	0.516
chr1	17634692	PADI4	WGS	1	PADI4	WGS	chr1_17633692_17635692	1	0.48	0.5175
chr1	17676070	AC004824.2	WGS	-1	AC004824.2	WGS	chr1_17675070_17677070	0.909417	0.595	0.5035
chr1	17766220	RCC2	WGS	-1	RCC2	WGS	chr1_17765220_17767220	0.99475	0.2795	0.555
