geneName	chr	start	end	strand	avg_exp
ABHD16A	chrHSCHR6_MHC_SSTO	31644674	31661153	-1	29.9587839360533
ABHD16B	chr20	62492566	62494341	1	0
ABHD17A	chr19	1876809	1885546	-1	42.9222046668182
ABHD17B	chr9	74477368	74525847	-1	4.30138781719387
ABHD17C	chr15	80972025	81047962	1	0.708098196757233
ABHD2	chr15	89630690	89745591	1	59.3226537461535
ABHD3	chr18	19230858	19284766	-1	17.9537589745528
ABHD4	chr14	23067146	23081265	1	14.730702015052
ABHD5	chr3	43731605	43775863	1	29.1971668754794
ABHD6	chr3	58223233	58281420	1	5.90445722493766
ABHD8	chr19	17402940	17421045	-1	0.98739832253435
ABI1	chr10	27035522	27150016	-1	90.2368766082382
ABI2	chr2	204192942	204312446	1	16.6515733922982
ABI3	chr17	47287589	47300587	1	23.1939644124052
ABI3BP	chr3	100468000	100712359	-1	4.89111835391291
ABL1	chr9	133589333	133763062	1	8.23346380055365
ABL2	chr1	179068462	179198819	-1	10.1729386818543
ABLIM1	chr10	116190872	116444762	-1	136.342309259078
ABLIM2	chr4	7967039	8160559	-1	1.37825599036622
ABLIM3	chr5	148521046	148640105	1	6.37828299253074
ABR	chr17	906758	1132315	-1	101.943008645008
ABRA	chr8	107771711	107782473	-1	0.425537161650775
ABRACL	chr6	139349819	139364439	1	10.8221206373344
ABT1	chr6	26597180	26600278	1	4.11637229780694
ABTB1	chr3	127391778	127399768	1	45.1618370002764
ABTB2	chr11	34172535	34379555	-1	0.314044109193053
AC002451.1	chr7	95171457	95173854	1	0
AC002472.1	chr22	21358030	21360736	-1	0
AC002553.1	chr17	15943505	15943994	1	0
AC003002.4	chr19	57874934	57909952	1	2.40858586845709
AC003043.1	chr17	42335297	42355825	1	0
AC003101.1	chr17	29898161	29902678	1	0
AC003102.1	chr17	42325758	42327236	-1	0.0660860874724733
AC004466.1	chr12	48178706	48179787	1	0.057281753381449
AC004528.1	chr19	999601	999952	1	0.118841652527464
AC004817.1	chr14	71683031	71683462	-1	0.044693721008091
AC004899.1	chr7	48887362	48891221	1	0
AC005008.2	chr7	80804824	80828431	1	0.0451993202274733
AC005082.1	chr7	23210760	23234503	1	0
AC005358.1	chr17	12626199	12661542	1	0
AC005544.1	chr17	65027509	65028198	1	0
AC005606.1	chr16	2031633	2032918	1	0
AC005609.1	chr5	140240341	140243224	-1	0
AC005841.1	chr12	2958397	2966213	-1	0
AC006372.1	chr7	157318477	157320019	1	0
AC006435.1	chr17	2310279	2318731	-1	0
AC006449.1	chr17	36884086	36884451	-1	0
AC006455.1	chr7	62809239	62812151	1	0
AC006486.1	chr19	42746927	42749125	1	15.3988019081579
AC006967.1	chr7	156902674	156903764	1	0
AC007204.1	chr19	20047769	20048639	-1	0
AC007216.2	chr16	12062000	12062333	-1	0
AC007375.1	chr14	77607026	77609339	1	0
AC007382.1	chr2	37068327	37068530	-1	0.0110730230252307
AC007557.1	chr2	217735495	217736362	1	0
AC007919.2	chr3	172361483	172361740	1	0
AC007952.1	chr17	19041448	19041895	-1	1.91980319208718
AC007952.5	chr17	18996287	19000150	1	0.0575933853948331
AC007952.6	chr17	19059040	19062424	-1	0.0108277266691845
AC007956.1	chr14	75158879	75179800	-1	0
AC008132.1	chr22	18721427	18745407	1	0.674148335856495
AC008267.1	chr7	65939543	65940709	1	0.194861403782273
AC008443.1	chr5	180682720	180684578	1	0.664805284735406
AC008498.1	chr5	60411538	60411762	-1	0
AC008686.1	chr19	13890884	13900972	-1	0.35606321357356
AC008914.1	chr5	55224468	55224569	-1	0
AC008948.1	chr5	101569696	101571279	1	0
AC009041.2	chr16	1031252	1031663	1	37.730569580646
AC009060.1	chr16	70239303	70239683	-1	0
AC009065.1	chr16	2303738	2312343	1	0
AC009403.2	chr7	155403925	155437899	-1	0.0219213198680128
AC009802.1	chr18	61602042	61609601	-1	0
AC009977.1	chrY	21737895	21738068	-1	0.702460352193993
AC010327.2	chr19	55738587	55741647	1	0
AC010336.1	chr19	7963689	7968427	-1	0.0732707076247901
AC010536.1	chr16	87727144	87729753	-1	1.22863304922799
AC010760.1	chr15	22456895	22460351	1	0
AC011239.1	chr2	23729913	23747214	-1	0
AC011298.1	chr2	241624478	241624705	-1	0
AC011475.1	chr19	10751715	10752093	1	0
AC011484.1	chr19	46997765	46999755	1	0.108213400834487
AC011500.1	chr19	39930212	39932082	1	0
AC011755.1	chr2	133874577	133876625	1	0.012848261768009
AC011897.1	chr2	14775215	14790933	1	0
AC011997.1	chr2	198557830	198639547	1	0.098088570977878
AC012123.1	chr18	30349758	30354376	1	0.0517095077248344
AC012313.1	chr19	58907457	58908407	1	2.15420493516831
AC012360.1	chr2	105867759	105869601	1	0
AC012360.2	chr2	105882490	105882585	-1	0
AC012414.1	chr15	21004687	21005367	1	0
AC012485.1	chr2	239192329	239192498	1	0
AC012493.2	chr2	100986705	100987007	-1	0
AC013468.1	chr2	190642909	190643157	-1	0
AC013469.1	chr2	241053907	241064304	1	0
AC015660.1	chr15	100038447	100038578	-1	0
AC016251.1	chr15	96831280	96831660	-1	0
AC016559.1	chr5	78523714	78523911	-1	0
AC016586.1	chr19	4041127	4043154	-1	0
AC016745.1	chr2	114204992	114205429	-1	0
AC016885.1	chr8	94241867	94242388	1	0
AC017081.1	chr2	207220463	207220843	1	0.0546893377151087
AC017104.2	chr2	232316906	232317864	1	0.175972938021102
AC018445.1	chr18	77275812	77276057	-1	0
AC018470.1	chr2	175200601	175202151	-1	0
AC018512.1	chr15	44075041	44075231	-1	0.0437181963121643
AC018630.1	chr12	11187087	11187275	1	0.166068109105818
AC018755.1	chr19	52095036	52097630	-1	0
AC019171.1	chr2	39186764	39187483	-1	0
AC019206.1	chr2	70129482	70129841	-1	0.112751302182931
AC019294.1	chr15	76030311	76031568	1	0.446784434097813
AC020629.1	chr12	42624050	42628075	1	0.0841628388228017
AC020907.1	chr19	35596873	35598141	1	0
AC020922.1	chr19	55851254	55856561	1	0
AC021860.1	chr4	38628029	38666430	-1	0
AC022210.1	chr2	85122209	85122345	-1	0.041821056948065
AC022400.2	chr10	75531935	75532378	-1	0
AC022431.2	chr5	55807394	55902059	-1	0
AC022498.1	chr3	187896331	187898598	1	0
AC022532.1	chr10	72194585	72196314	1	1.33115513252409
AC023469.1	chr2	151857734	151905288	-1	0.42022075804995
AC023590.1	chr8	119294378	119412844	1	2.44923619674429
AC023632.1	chr8	95558771	95560630	1	0
AC024257.1	chr12	48759919	48761738	1	0
AC024580.1	chr19	56662314	56663250	-1	0
AC024940.1	chr12	31477250	31478879	1	1.59424097599839
AC025262.1	chr12	65090189	65090329	-1	0
AC025278.1	chr19	7011514	7013338	1	0.548673310729377
AC025287.1	chr16	75728367	75734089	-1	0.1119948709628
AC026202.1	chr3	5229227	5229982	-1	0
AC026310.1	chr12	25055243	25057615	1	0
AC026369.1	chr12	147052	147377	1	0
AC026407.1	chr5	157160003	157161727	-1	0
AC026461.1	chr16	56662971	56666150	-1	0
AC026740.1	chr5	667759	668839	1	0
AC027228.1	chr15	78830023	78831288	1	0
AC027307.3	chr19	1440838	1441937	1	0
AC027309.1	chr5	172036245	172036436	-1	0
AC027763.2	chr17	6779954	6915668	-1	0
AC037459.4	chr8	22446787	22459597	1	0
AC040160.1	chr16	67244251	67260930	-1	0.030596000997709
AC040977.1	chr17	6915928	6917755	-1	0
AC055736.1	chr12	52922915	52922980	1	0
AC061992.1	chr17	76422409	76422834	1	0
AC062017.1	chr2	240323130	240324058	1	1.60348599124393
AC064874.1	chr2	236682499	236692031	-1	6.94221633351046
AC068620.1	chr4	57276682	57277131	1	0.158709852919384
AC068987.1	chr12	52203789	52206636	1	0
AC069547.1	chr10	52094298	52095876	1	0
AC073063.1	chr7	99040552	99040747	1	3.12640526142334
AC073188.1	chr7	62858414	62858860	-1	0
AC073333.1	chr7	16828866	16829246	1	0.646719460028279
AC073342.1	chr7	142919163	142919360	-1	0.637078974630341
AC073343.1	chr7	6713376	6715991	1	3.03846566445577
AC073569.1	chr12	80198742	80202321	1	0.0562028944395303
AC073657.1	chr15	42073346	42076229	-1	0
AC078925.1	chr12	131514221	131514769	-1	0
AC079210.1	chr17	66539369	66542970	1	0
AC079341.1	chr4	122685740	122687962	1	0.0963048700789946
AC079354.1	chr2	202937978	203062585	1	0.033409209608551
AC079354.2	chr2	203104292	203104435	1	1.70202365687367
AC079602.1	chr12	121407641	121410095	-1	0
AC079612.1	chr2	240499995	240507788	1	0
AC083862.1	chr7	134832797	134832916	-1	1.01119670288272
AC087239.1	chr12	25381515	25390840	1	0.131933805436849
AC087477.1	chr15	96904487	96904900	1	0.148273059802057
AC087645.1	chr17	76210462	76220740	-1	0
AC090186.1	chr8	52730143	52730969	1	0
AC090574.1	chr8	70850403	70850635	1	0
AC090616.2	chr17	30468245	30470154	-1	1.65369725105937
AC090673.2	chr12	66291518	66317967	-1	0
AC091948.1	chr5	147698550	147701891	1	0.0274570951488895
AC092384.1	chr16	88894366	88894545	1	32.7272024702249
AC092811.1	chr1	225600404	225602040	1	0
AC092850.1	chr12	131780067	131782763	1	0
AC092964.1	chr3	172034218	172039513	1	0.0209192237644812
AC093157.1	chr1	101455761	101457653	1	0
AC093323.1	chr4	6693782	6694189	-1	0.0999162698005719
AC093677.1	chr4	75023327	75024085	-1	0.26147128531084
AC093802.1	chr2	240684554	240724577	1	0.0171547624696716
AC096582.1	chr7	45902684	45906045	-1	0
AC096644.1	chr1	220603286	220608023	-1	0
AC096677.1	chr1	201592013	201592738	1	0.0190753991752393
AC097381.1	chr4	7940728	7942022	1	0
AC099344.1	chr2	11603927	11606274	1	0.389225586440463
AC099552.4	chr7	154988273	154990165	-1	0
AC104057.1	chr7	65112081	65113280	-1	0
AC104472.1	chr3	155459933	155461515	-1	0
AC104794.4	chr2	10223908	10226228	1	0
AC105020.1	chr15	75970672	75973093	1	0.0489062688264858
AC106017.1	chr17	19122674	19125839	1	7.82008597368512
AC107021.1	chr3	145782358	145784156	1	2.18513423391348
AC108868.1	chr2	107099728	107103848	-1	0
AC109583.1	chr3	46927699	46930171	-1	0
AC110615.1	chr4	76871883	76878526	1	0.0143406960220291
AC110792.1	chr4	54927213	54927377	1	5.28827634940388
AC111200.1	chr2	87089023	87092827	1	0.0620022478410337
AC112693.2	chr15	93749295	93751277	1	0.669298797036184
AC112721.1	chr2	238330063	238333919	-1	0.0629759935860593
AC114546.1	chr15	35270552	35272268	1	0
AC115618.1	chrX	48431482	48433275	-1	3.18377603515595
AC116407.2	chr17	30506379	30506885	-1	0
AC117395.1	chr3	149689066	149690535	1	0.345726158285077
AC117834.1	chr8	93895865	93898013	1	0
AC121757.1	chr12	52709128	52709790	1	0
AC126614.1	chr12	57810198	57810536	1	0
AC127496.1	chr17	78977135	78978932	1	0.0267147965533435
AC129492.6	chr17	7982800	7984883	1	0
AC131097.4	chr2	242836136	242844702	-1	0
AC131935.1	chr11	11747060	11747257	-1	0
AC131971.1	chr11	3011093	3012563	1	0.579356238899736
AC132186.1	chr16	66516775	66519747	-1	0
AC132192.1	chr11	9481747	9482010	-1	0
AC132216.1	chr11	33902189	33903338	1	0.105347887313716
AC132872.2	chr17	80214131	80216080	1	0
AC135048.1	chr16	30996808	30997533	-1	7.35999588118534
AC135178.1	chr17	8261731	8263538	-1	0
AC135983.2	chr15	32774822	32780287	1	42.0167790581839
AC136604.1	chr5	179078298	179079445	1	0.150141589439468
AC137056.1	chr16	20499024	20500981	1	0.737218522326247
AC137932.1	chr16	89334512	89339452	1	0.120052758061188
AC138393.1	chr1	224215760	224216371	-1	4.63821923152153
AC138517.1	chr5	138852108	138852506	1	0
AC138647.1	chr8	142524738	142528837	1	0
AC139100.2	chr18	77905807	77936315	1	0
AC139426.2	chr15	32694108	32695493	-1	0
AC139768.1	chr12	51619860	51620085	1	0.0342118996951293
AC140481.2	chr2	131328402	131341734	1	0
AC142381.1	chr16	32063311	32063601	1	0.423095912665687
AC144568.2	chr8	22601	29775	1	0.105072949749981
ACAA1	chr3	38144620	38178733	-1	61.1797309947693
ACAA2	chr18	47309869	47340330	-1	17.4448209028753
ACACA	chr17	35441923	35766909	-1	36.2618681862973
ACACB	chr12	109554400	109706031	1	27.5551049184136
ACAD10	chr12	112123857	112194903	1	29.4368032434838
ACAD11	chr3	132276982	132379567	-1	29.2127520072985
ACAD8	chr11	134123389	134135749	1	34.3606799043285
ACAD9	chr3	128598439	128634910	1	107.065759332672
ACADL	chr2	211052663	211090215	-1	0.161607103220017
ACADM	chr1	76190036	76253260	1	96.9796818576918
ACADS	chr12	121163538	121177811	1	5.7863200165382
ACADSB	chr10	124768495	124817827	1	43.835792188959
ACADVL	chr17	7120444	7128592	1	435.77204911007
ACAN	chr15	89346674	89418585	1	1.54971270960679
ACAP1	chr17	7239848	7254797	1	165.517385393529
ACAP2	chr3	194995465	195163807	-1	156.19116002685
ACAP3	chr1	1227756	1244989	-1	15.7574322825479
ACAT1	chr11	107992243	108018503	1	108.876881166993
ACAT2	chr6	160181360	160200144	1	7.40947789683034
ACBD3	chr1	226332380	226374431	-1	22.1173179796516
ACBD4	chr17	43209967	43221548	1	22.3086399904852
ACBD5	chr10	27484146	27531059	-1	47.0689284485786
ACBD6	chr1	180244515	180472089	-1	41.8269011081743
ACBD7	chr10	15119522	15130775	-1	0.086160694206973
ACCS	chr11	44087475	44105772	1	26.7912434076694
ACCSL	chr11	44069531	44081527	1	0.243678957378949
ACD	chr16	67691415	67694713	-1	14.9793843454474
ACE	chr17	61554422	61599205	1	9.22717662187069
ACE2	chrX	15579156	15620271	-1	0.0223796478173009
ACER1	chr19	6306153	6333640	-1	0.389938915331033
ACER2	chr9	19408925	19452018	1	1.38455993938368
ACER3	chrHG414_PATCH	76571911	76737841	1	39.6629326051715
ACHE	chr7	100487615	100494594	-1	0.00863774575336386
ACIN1	chr14	23527773	23564823	-1	113.919700366787
ACKR2	chr3	42846244	42929466	1	0.391456069570152
ACKR3	chr2	237476430	237491001	1	4.87991790454991
ACKR4	chr3	132316081	132337811	1	4.90056652895631
ACLY	chrHG185_PATCH	40023160	40075239	-1	42.56691228456
ACMSD	chr2	135596117	135659604	1	0.562577484830188
ACO1	chr9	32384618	32454767	1	8.63579554026549
ACO2	chr22	41865129	41924993	1	52.5485041355399
ACOT1	chr14	74003818	74010498	1	1.54618964530108
ACOT11	chr1	55007930	55104865	1	0.794091575438316
ACOT12	chr5	80625824	80689998	-1	0.164009006413696
ACOT13	chr6	24667263	24705293	1	5.60069064563014
ACOT2	chr14	74034324	74042357	1	10.5192527765816
ACOT4	chr14	74058410	74063200	1	0.629985956472366
ACOT6	chr14	74077649	74086592	1	0.146542921396086
ACOT7	chr1	6324329	6454451	-1	4.14730319878067
ACOT8	chr20	44470360	44486045	-1	7.44927337811563
ACOT9	chrX	23720370	23784592	-1	61.413881191871
ACOX1	chr17	73937588	73975515	-1	70.7501718333562
ACOX2	chr3	58490863	58523046	-1	1.37800474692697
ACOX3	chr4	8368009	8442450	-1	16.338119213267
ACOXL	chr2	111490150	111875799	1	0.365810222784104
ACP1	chr2	264140	278283	1	68.89212079995
ACP2	chr11	47260853	47270457	-1	8.92194512277932
ACP5	chr19	11685475	11689823	-1	49.7066639652814
ACP6	chr1	147101453	147142618	-1	10.259164573188
ACPP	chr3	132036211	132087142	1	80.2752993731494
ACR	chr22	51176624	51183762	1	0.0298806013691729
ACRBP	chr12	6747241	6756626	-1	18.6925617614781
ACRV1	chr11	125541417	125551018	-1	0.389576976814667
ACSBG1	chr15	78459810	78538030	-1	0.704755868624874
ACSBG2	chr19	6135258	6193112	1	0.559938220334771
ACSF2	chr17	48503519	48552206	1	15.3324087140375
ACSF3	chr16	89154783	89222254	1	82.8916706796934
ACSL1	chr4	185676749	185747972	-1	23.7845362847767
ACSL3	chr2	223725652	223809357	1	33.5759571934891
ACSL4	chrX	108867473	108976632	-1	33.3432883927614
ACSL5	chr10	114133776	114188138	1	58.9971570200731
ACSL6	chr5	131142683	131347936	-1	7.32984775793256
ACSM1	chr16	20634559	20710212	-1	4.29168586731658
ACSM2A	chr16	20462783	20498991	1	0.360978555525403
ACSM2B	chr16	20547548	20587749	-1	0.213498626878967
ACSM3	chr16	20621565	20808903	1	11.9474939754485
ACSM4	chr12	7456880	7481320	1	0.0389730837449066
ACSM5	chr16	20420856	20452658	1	0.523336061005576
ACSS1	chr20	24986868	25039616	-1	7.68107881949327
ACSS2	chr20	33459949	33515769	1	32.5469196459426
ACSS3	chr12	81331594	81650533	1	0.144262791699688
ACTA1	chr1	229566992	229569845	-1	0.653815345960507
ACTA2	chr10	90694831	90751147	-1	27.0420399894654
ACTB	chr7	5566782	5603415	-1	16862.0774773118
ACTBL2	chr5	56775846	56778636	-1	0
ACTC1	chr15	35080297	35088340	-1	0.0122044201249614
ACTG1	chrHG271_PATCH	79483771	79497647	-1	5280.15564288054
ACTG2	chr2	74119441	74146992	1	0.336017335551485
ACTL10	chr20	32254304	32256331	1	0.0413892216893321
ACTL6A	chr3	179280668	179306196	1	46.3217215655004
ACTL6B	chr7	100240720	100254084	-1	0.645034023262578
ACTL7A	chr9	111624603	111626035	1	0.332880613312576
ACTL7B	chr9	111616871	111619239	-1	0.0115599891381236
ACTL8	chr1	18081808	18153558	1	0
ACTL9	chrHG729_PATCH	8762287	8763706	-1	0
ACTN1	chr14	69340860	69446157	-1	60.5590327190486
ACTN2	chr1	236849754	236927931	1	0.625288943402856
ACTN4	chr19	39138289	39222223	1	367.186185374726
ACTR10	chr14	58666798	58701750	1	63.8428198930308
ACTR1A	chr10	104238986	104262482	-1	48.3197211437681
ACTR1B	chr2	98272431	98280570	-1	28.0024702866676
ACTR2	chr2	65454887	65498387	1	405.016839672221
ACTR3	chr2	114647537	114720173	1	359.836593644608
ACTR3B	chr7	152456834	152552463	1	13.0820274033692
ACTR3C	chr7	149941005	150020814	-1	10.6263894339471
ACTR5	chr20	37377085	37400834	1	4.33718555402902
ACTR6	chr12	100592900	100635643	1	16.3626310305797
ACTR8	chr3	53901093	53916229	-1	16.2550760947613
ACTRT1	chrX	127184943	127186382	-1	0.038290770430834
ACTRT2	chr1	2938046	2939465	1	0
ACTRT3	chr3	169484709	169487683	-1	0
ACVR1	chr2	158592958	158732374	-1	18.5166579953906
ACVR1B	chr12	52345451	52390862	1	9.45922430177672
ACVR1C	chr2	158383279	158485517	-1	1.29699463221873
ACVR2A	chr2	148602086	148688393	1	17.3305608339077
ACVR2B	chr3	38495342	38534633	1	5.62433661069605
ACVRL1	chr12	52300692	52317145	1	1.36614835816092
ACY1	chr3	52009066	52023213	1	12.3017879341693
ACY3	chr11	67410026	67418130	-1	0.917662014388493
ACYP1	chr14	75519924	75536186	-1	10.0802289806938
ACYP2	chr2	54197975	54532437	1	3.25764457121361
ADA	chr20	43248163	43280874	-1	59.9716405465696
ADAD1	chr4	123300121	123350957	1	0.0816357468661573
ADAD2	chr16	84224744	84230774	1	0.190391619852962
ADAL	chr15	43622872	43646096	1	4.2815477574361
ADAM10	chr15	58887403	59042177	-1	415.78551351765
ADAM11	chr17	42836399	42859214	1	0.297681746523664
ADAM12	chr10	127700950	128077024	-1	2.06138957787212
ADAM15	chr1	155023042	155035252	1	34.1971257361353
ADAM17	chr2	9628615	9695921	-1	38.7101247947207
ADAM18	chr8	39442008	39587583	1	0.0677809994016413
ADAM19	chr5	156822542	157002783	-1	26.6696106201447
ADAM2	chr8	39601254	39695808	-1	0
ADAM20	chr14	70989075	71001732	-1	0.873447153839943
ADAM21	chr14	70918874	70926622	1	0.557158571537723
ADAM22	chr7	87563458	87832204	1	9.4489858556213
ADAM23	chr2	207308263	207485851	1	2.92017949877941
ADAM28	chr8	24151553	24216531	1	60.2332249531192
ADAM29	chr4	175750819	175899331	1	0.045864884023953
ADAM30	chr1	120436156	120439118	-1	0.595012645512951
ADAM32	chr8	38964509	39142430	1	1.66254139629196
ADAM33	chr20	3648612	3662893	-1	0.0797841322086143
ADAM7	chr8	24298443	24384483	1	0.101563439932287
ADAM8	chr10	135075907	135090372	-1	27.0669783959414
ADAM9	chr8	38854388	38962663	1	60.2126360537762
ADAMDEC1	chr8	24241798	24263526	1	0.747333076860211
ADAMTS1	chr21	28208066	28217728	-1	8.98248793348367
ADAMTS10	chrHG729_PATCH	8645126	8675619	-1	25.3811973504217
ADAMTS12	chr5	33523640	33892297	-1	0.0919060136206303
ADAMTS13	chrHG79_PATCH	136289893	136334921	1	1.87920506096596
ADAMTS14	chr10	72432559	72522197	1	0.0756486031770191
ADAMTS15	chr11	130318869	130346532	1	0
ADAMTS16	chr5	5140443	5320417	1	0.0377783402498219
ADAMTS17	chr15	100511794	100882210	-1	7.62000641907354
ADAMTS18	chr16	77281710	77469011	-1	0.215645491459358
ADAMTS19	chr5	128795958	129074376	1	0.0442808786355883
ADAMTS2	chr5	178537852	178772431	-1	0.149726140515967
ADAMTS20	chr12	43747669	43945724	-1	0.035788716489493
ADAMTS3	chr4	73146686	73434516	-1	0.038430748945216
ADAMTS4	chr1	161154098	161168846	-1	0.502746393368223
ADAMTS5	chr21	28290231	28338832	-1	0.264627364609371
ADAMTS6	chr5	64444563	64777747	-1	4.41994994913626
ADAMTS7	chr15	79051545	79103773	-1	0.0591484470714236
ADAMTS8	chr11	130274820	130298888	-1	0.176765988726462
ADAMTS9	chr3	64501333	64673676	-1	0.0287953462606799
ADAMTSL1	chr9	18473892	18910948	1	0.122975440310213
ADAMTSL2	chr9	136397286	136440641	1	0.114872276453571
ADAMTSL3	chr15	84322838	84708594	1	0.41526086421321
ADAMTSL4	chr1	150521884	150533413	1	38.8430734452255
ADAMTSL4-AS1	chr1	150533480	150533969	-1	1.30794638461205
ADAMTSL5	chr19	1505017	1513603	-1	0.325325509970308
ADAP1	chr7	937540	995043	-1	15.5007470186711
ADAP2	chr17	29233362	29286340	1	37.1194062897458
ADAR	chr1	154554538	154600475	-1	269.729066574782
ADARB1	chr21	46493768	46646478	1	15.1495323397505
ADARB2	chr10	1228073	1779670	-1	0.248652580033963
ADAT1	chr16	75630879	75657198	-1	22.3651363623507
ADAT2	chr6	143743969	143771810	-1	7.60190876750802
ADAT3	chr19	1905377	1913444	1	0.274568921778372
ADCK1	chr14	78266426	78401355	1	8.96665415598667
ADCK2	chr7	140372953	140396061	1	6.63880711826925
ADCK5	chrHG243_PATCH	145428004	145448145	1	3.64127422072114
ADCY1	chr7	45613739	45762715	1	0.00586639934052013
ADCY10	chr1	167778625	167883453	-1	0.7321105161789
ADCY2	chr5	7396321	7830194	1	0.43790026266782
ADCY3	chr2	25042038	25142708	-1	16.0070698704488
ADCY4	chr14	24787555	24804299	-1	5.93828300776033
ADCY5	chr3	123001143	123168605	-1	0.46605019220149
ADCY6	chr12	49159975	49182820	-1	0.907306748428487
ADCY7	chr16	50280048	50352046	1	61.9990392779265
