V1	V2	V3	ID	DukeUq	RepeatMaskerFrac
chr1	10531583	10533583	chr1_10531583_10533583	0.957083	0.2385
chr1	10533944	10535944	chr1_10533944_10535944	0.882333	0.352
chr1	107598301	107600301	chr1_107598301_107600301	0.925792	0.2015
chr1	107682442	107684442	chr1_107682442_107684442	1	0.098
chr1	108506766	108508766	chr1_108506766_108508766	1	0.0545
chr1	10855705	10857705	chr1_10855705_10857705	0.984625	0.137
chr1	108741980	108743980	chr1_108741980_108743980	1	0.055
chr1	108785689	108787689	chr1_108785689_108787689	0.326292	0.0295
chr1	108917421	108919421	chr1_108917421_108919421	0.317292	0.0635
chr1	109101711	109103711	chr1_109101711_109103711	0.99475	0.1205
chr1	109203148	109205148	chr1_109203148_109205148	0.845958	0.353
chr1	109233945	109235945	chr1_109233945_109235945	1	0.106
chr1	109254279	109256279	chr1_109254279_109256279	0.983708	0.24
chr1	109288310	109290310	chr1_109288310_109290310	1	0.0545
chr1	109398716	109400716	chr1_109398716_109400716	0.938125	0.2055
chr1	109416972	109418972	chr1_109416972_109418972	0.8985	0.603
chr1	109505111	109507111	chr1_109505111_109507111	0.884583	0.4845
chr1	109583608	109585608	chr1_109583608_109585608	0.951333	0.159
chr1	109617624	109619624	chr1_109617624_109619624	0.92925	0.4725
chr1	109631425	109633425	chr1_109631425_109633425	0.831958	0.3515
chr1	109655479	109657479	chr1_109655479_109657479	0.943417	0.1805
chr1	109655623	109657623	chr1_109655623_109657623	0.943417	0.1805
chr1	109755540	109757540	chr1_109755540_109757540	1	0.033
chr1	109791641	109793641	chr1_109791641_109793641	1	0.1
chr1	109824790	109826790	chr1_109824790_109826790	0.985083	0.1785
chr1	109848663	109850663	chr1_109848663_109850663	0.971	0.243
chr1	109939573	109941573	chr1_109939573_109941573	1	0.0465
chr1	109967973	109969973	chr1_109967973_109969973	1	0.055
chr1	110008250	110010250	chr1_110008250_110010250	0.905917	0.157
chr1	110025561	110027561	chr1_110025561_110027561	1	0.1025
chr1	110035736	110037736	chr1_110035736_110037736	0.915	0.1645
chr1	110051304	110053304	chr1_110051304_110053304	0.987542	0.145
chr1	110081494	110083494	chr1_110081494_110083494	1	0.1745
chr1	110090233	110092233	chr1_110090233_110092233	1	0
chr1	110154679	110156679	chr1_110154679_110156679	1	0.0885
chr1	110162276	110164276	chr1_110162276_110164276	1	0.05
chr1	110197703	110199703	chr1_110197703_110199703	0.900167	0.2745
chr1	110209688	110211688	chr1_110209688_110211688	0.92025	0.123
chr1	110229442	110231442	chr1_110229442_110231442	0.763333	0.0725
chr1	110253877	110255877	chr1_110253877_110255877	0.769667	0.075
chr1	110283384	110285384	chr1_110283384_110285384	1	0.4845
chr1	110305649	110307649	chr1_110305649_110307649	1	0.026
chr1	11041094	11043094	chr1_11041094_11043094	0.844625	0.487
chr1	110452255	110454255	chr1_110452255_110454255	1	0.1395
chr1	110526308	110528308	chr1_110526308_110528308	1	0.1905
chr1	110576238	110578238	chr1_110576238_110578238	1	0.338
chr1	110612322	110614322	chr1_110612322_110614322	1	0.053
chr1	110654062	110656062	chr1_110654062_110656062	0.9415	0.366
chr1	110692108	110694108	chr1_110692108_110694108	1	0.0335
chr1	11071699	11073699	chr1_11071699_11073699	0.99125	0.361
chr1	110753095	110755095	chr1_110753095_110755095	0.99425	0.0625
chr1	1108283	1110283	chr1_1108283_1110283	0.945542	0.279
chr1	110880128	110882128	chr1_110880128_110882128	1	0.1635
chr1	110932704	110934704	chr1_110932704_110934704	0.97625	0.187
chr1	110949564	110951564	chr1_110949564_110951564	0.998833	0.291
chr1	110992822	110994822	chr1_110992822_110994822	1	0.0325
chr1	111060797	111062797	chr1_111060797_111062797	0.990083	0.215
chr1	11106280	11108280	chr1_11106280_11108280	0.83575	0.402
chr1	111149051	111151051	chr1_111149051_111151051	1	0.054
chr1	11119081	11121081	chr1_11119081_11121081	1	0.1025
chr1	111216655	111218655	chr1_111216655_111218655	0.990167	0.015
chr1	111414776	111416776	chr1_111414776_111416776	1	0.217
chr1	111505701	111507701	chr1_111505701_111507701	1	0.193
chr1	11158938	11160938	chr1_11158938_11160938	0.914125	0.37
chr1	111681249	111683249	chr1_111681249_111683249	0.96525	0.142
chr1	111681662	111683662	chr1_111681662_111683662	1	0.0555
chr1	111742311	111744311	chr1_111742311_111744311	1	0
chr1	111742393	111744393	chr1_111742393_111744393	1	0
chr1	111832538	111834538	chr1_111832538_111834538	0.775333	0.894
chr1	111887910	111889910	chr1_111887910_111889910	1	0.143
chr1	111969399	111971399	chr1_111969399_111971399	0.982667	0.2975
chr1	111990558	111992558	chr1_111990558_111992558	0.99875	0
chr1	111990998	111992998	chr1_111990998_111992998	0.99875	0.0335
chr1	112015414	112017414	chr1_112015414_112017414	0.826917	0.3535
chr1	112045110	112047110	chr1_112045110_112047110	1	0.011
chr1	112161405	112163405	chr1_112161405_112163405	0.999375	0.448
chr1	112281046	112283046	chr1_112281046_112283046	1	0.096
chr1	112296927	112298927	chr1_112296927_112298927	0.99525	0.3675
chr1	11248398	11250398	chr1_11248398_11250398	1	0.034
chr1	112530777	112532777	chr1_112530777_112532777	1	0.0725
chr1	112937803	112939803	chr1_112937803_112939803	1	0.015
chr1	113050400	113052400	chr1_113050400_113052400	1	0
chr1	113160795	113162795	chr1_113160795_113162795	1	0
chr1	113161040	113163040	chr1_113161040_113163040	1	0
chr1	11321564	11323564	chr1_11321564_11323564	0.956583	0.2365
chr1	113216043	113218043	chr1_113216043_113218043	1	0
chr1	113248749	113250749	chr1_113248749_113250749	0.94775	0.2235
chr1	113252977	113254977	chr1_113252977_113254977	1	0.1055
chr1	113257099	113259099	chr1_113257099_113259099	1	0.157
chr1	113262041	113264041	chr1_113262041_113264041	0.9885	0.1485
chr1	11332263	11334263	chr1_11332263_11334263	0.919958	0.382
chr1	113497685	113499685	chr1_113497685_113499685	0.96625	0.128
chr1	113614831	113616831	chr1_113614831_113616831	1	0.0945
chr1	113932581	113934581	chr1_113932581_113934581	1	0.0785
chr1	1140951	1142951	chr1_1140951_1142951	1	0
chr1	114301098	114303098	chr1_114301098_114303098	1	0.1945
chr1	114354098	114356098	chr1_114354098_114356098	0.998	0.0895
chr1	114413381	114415381	chr1_114413381_114415381	0.986667	0.1665
chr1	114429169	114431169	chr1_114429169_114431169	0.938292	0.391
chr1	114446620	114448620	chr1_114446620_114448620	1	0.1155
chr1	114446763	114448763	chr1_114446763_114448763	0.948292	0.163
chr1	114471332	114473332	chr1_114471332_114473332	1	0.067
chr1	114521065	114523065	chr1_114521065_114523065	1	0
chr1	114694539	114696539	chr1_114694539_114696539	1	0.0275
chr1	1148512	1150512	chr1_1148512_1150512	0.953167	0.2195
chr1	115052781	115054781	chr1_115052781_115054781	0.964875	0.272
chr1	115123260	115125260	chr1_115123260_115125260	0.978375	0.198
chr1	115211656	115213656	chr1_115211656_115213656	1	0.138
chr1	115237207	115239207	chr1_115237207_115239207	0.878583	0.4225
chr1	115258515	115260515	chr1_115258515_115260515	0.9985	0
chr1	115291811	115293811	chr1_115291811_115293811	1	0.0645
chr1	115322306	115324306	chr1_115322306_115324306	0.91825	0.356
chr1	11538295	11540295	chr1_11538295_11540295	1	0.0225
chr1	115396424	115398424	chr1_115396424_115398424	0.966542	0.315
chr1	115571415	115573415	chr1_115571415_115573415	0.965667	0.2585
chr1	115631085	115633085	chr1_115631085_115633085	1	0.0935
chr1	115879857	115881857	chr1_115879857_115881857	0.984417	0.1045
chr1	116183574	116185574	chr1_116183574_116185574	0.991792	0.082
chr1	116310402	116312402	chr1_116310402_116312402	0.999	0.1035
chr1	116385538	116387538	chr1_116385538_116387538	0.956375	0.628
chr1	116518119	116520119	chr1_116518119_116520119	1	0.0355
chr1	1166381	1168381	chr1_1166381_1168381	0.999	0.233
chr1	116653376	116655376	chr1_116653376_116655376	0.995	0.0505
chr1	1166629	1168629	chr1_1166629_1168629	1	0.197
chr1	116915489	116917489	chr1_116915489_116917489	1	0.083
chr1	116925718	116927718	chr1_116925718_116927718	1	0.1115
chr1	117112661	117114661	chr1_117112661_117114661	0.9945	0.137
chr1	11713739	11715739	chr1_11713739_11715739	1	0.148
chr1	11713914	11715914	chr1_11713914_11715914	0.999	0.196
chr1	117209314	117211314	chr1_117209314_117211314	0.9995	0.3465
chr1	11723181	11725181	chr1_11723181_11725181	0.880625	0.362
chr1	117235734	117237734	chr1_117235734_117237734	1	0.128
chr1	117296007	117298007	chr1_117296007_117298007	1	0.0335
chr1	117451679	117453679	chr1_117451679_117453679	1	0.1235
chr1	11750707	11752707	chr1_11750707_11752707	0.997708	0.1305
chr1	11750786	11752786	chr1_11750786_11752786	0.997708	0.1305
chr1	117543382	117545382	chr1_117543382_117545382	0.896083	0.396
chr1	117601925	117603925	chr1_117601925_117603925	0.983917	0.2175
chr1	117663350	117665350	chr1_117663350_117665350	1	0
chr1	117752556	117754556	chr1_117752556_117754556	0.99975	0.13
chr1	117909071	117911071	chr1_117909071_117911071	0.994	0.0335
chr1	11795212	11797212	chr1_11795212_11797212	0.973042	0.301
chr1	1181102	1183102	chr1_1181102_1183102	1	0.038
chr1	118147556	118149556	chr1_118147556_118149556	1	0.1275
chr1	11820844	11822844	chr1_11820844_11822844	0.894167	0.301
chr1	118471253	118473253	chr1_118471253_118473253	1	0
chr1	118471391	118473391	chr1_118471391_118473391	1	5e-04
chr1	11862302	11864302	chr1_11862302_11864302	0.957458	0.083
chr1	11865268	11867268	chr1_11865268_11867268	1	0.0175
chr1	118726846	118728846	chr1_118726846_118728846	1	0.335
chr1	11906840	11908840	chr1_11906840_11908840	0.955792	0.08
chr1	11917988	11919988	chr1_11917988_11919988	0.979917	0.0475
chr1	119531179	119533179	chr1_119531179_119533179	1	0
chr1	119682294	119684294	chr1_119682294_119684294	0.9585	0.2025
chr1	11985480	11987480	chr1_11985480_11987480	0.71825	0.3985
chr1	119910461	119912461	chr1_119910461_119912461	1	0.192
chr1	11993810	11995810	chr1_11993810_11995810	0.893583	0.5255
chr1	119956554	119958554	chr1_119956554_119958554	0.9785	0.126
chr1	120048826	120050826	chr1_120048826_120050826	0.974	0.1435
chr1	120189396	120191396	chr1_120189396_120191396	0.99975	0.0575
chr1	120253510	120255510	chr1_120253510_120255510	0.81	0.253
chr1	120310517	120312517	chr1_120310517_120312517	1	0.094
chr1	120353203	120355203	chr1_120353203_120355203	0.919625	0.417
chr1	12039369	12041369	chr1_12039369_12041369	0.931083	0.317
chr1	120438118	120440118	chr1_120438118_120440118	1	0.105
chr1	120611240	120613240	chr1_120611240_120613240	0.61325	0.1825
chr1	12078523	12080523	chr1_12078523_12080523	0.848083	0.3735
chr1	1208213	1210213	chr1_1208213_1210213	1	0.026
chr1	120838005	120840005	chr1_120838005_120840005	0.48975	0
chr1	120934937	120936937	chr1_120934937_120936937	0.376	0.019
chr1	12122434	12124434	chr1_12122434_12124434	0.797292	0.2615
chr1	1214816	1216816	chr1_1214816_1216816	0.760583	0.65
chr1	12226060	12228060	chr1_12226060_12228060	0.969417	0.2145
chr1	12289124	12291124	chr1_12289124_12291124	0.9965	0.424
chr1	1242398	1244398	chr1_1242398_1244398	1	0.1905
chr1	1242947	1244947	chr1_1242947_1244947	1	0.1905
chr1	1258989	1260989	chr1_1258989_1260989	0.970417	0.2725
chr1	1259147	1261147	chr1_1259147_1261147	0.982	0.223
chr1	1265694	1267694	chr1_1265694_1267694	1	0
chr1	12676737	12678737	chr1_12676737_12678737	1	0.0365
chr1	12703566	12705566	chr1_12703566_12705566	0.938167	0.3985
chr1	12775146	12777146	chr1_12775146_12777146	0.9985	0.324
chr1	12805163	12807163	chr1_12805163_12807163	0.937792	0.296
chr1	12833984	12835984	chr1_12833984_12835984	0.997	0.1
chr1	1283492	1285492	chr1_1283492_1285492	0.933	0.2235
chr1	12850546	12852546	chr1_12850546_12852546	0.524292	0.2835
chr1	12890264	12892264	chr1_12890264_12892264	0.406875	0.4895
chr1	12907578	12909578	chr1_12907578_12909578	0.761042	0.155
chr1	12915941	12917941	chr1_12915941_12917941	0.631125	0.276
chr1	1292915	1294915	chr1_1292915_1294915	0.947708	0.1775
chr1	12945025	12947025	chr1_12945025_12947025	0.357292	0.497
chr1	12957101	12959101	chr1_12957101_12959101	0.387417	0.486
chr1	12975450	12977450	chr1_12975450_12977450	0.38225	0.0815
chr1	13006420	13008420	chr1_13006420_13008420	0.166042	0.4865
chr1	13034543	13036543	chr1_13034543_13036543	0.21375	0.2495
chr1	13051998	13053998	chr1_13051998_13053998	0.118	0.1085
chr1	1309537	1311537	chr1_1309537_1311537	0.909333	0.154
chr1	13218581	13220581	chr1_13218581_13220581	0.208417	0.1355
chr1	13330692	13332692	chr1_13330692_13332692	0.2165	0.2605
chr1	1333692	1335692	chr1_1333692_1335692	1	0.0525
chr1	1333902	1335902	chr1_1333902_1335902	1	0.0525
chr1	13358819	13360819	chr1_13358819_13360819	0.171	0.4865
chr1	13389765	13391765	chr1_13389765_13391765	0.310875	0.082
chr1	1341693	1343693	chr1_1341693_1343693	0.981708	0.3305
chr1	13420176	13422176	chr1_13420176_13422176	0.229667	0.4875
chr1	13451656	13453656	chr1_13451656_13453656	0.346833	0.2915
chr1	13476522	13478522	chr1_13476522_13478522	0.255958	0.3015
chr1	13494254	13496254	chr1_13494254_13496254	0.311625	0.295
chr1	13515066	13517066	chr1_13515066_13517066	0.39425	0.5635
chr1	1355650	1357650	chr1_1355650_1357650	1	0.0735
chr1	1360508	1362508	chr1_1360508_1362508	0.936792	0.2105
chr1	13640973	13642973	chr1_13640973_13642973	0.229667	0.4875
chr1	13672511	13674511	chr1_13672511_13674511	0.346833	0.299
chr1	13697405	13699405	chr1_13697405_13699405	0.255958	0.3015
chr1	1370051	1372051	chr1_1370051_1372051	1	0.05
chr1	13715092	13717092	chr1_13715092_13717092	0.307208	0.3045
chr1	13735907	13737907	chr1_13735907_13737907	0.3925	0.5635
chr1	138379	140379	chr1_138379_140379	0.129	0.25
chr1	13839543	13841543	chr1_13839543_13841543	1	0.1875
chr1	1384069	1386069	chr1_1384069_1386069	0.7985	0.6315
chr1	13908960	13910960	chr1_13908960_13910960	1	0.1055
chr1	14030350	14032350	chr1_14030350_14032350	0.9305	0.077
chr1	1406149	1408149	chr1_1406149_1408149	0.81375	0.3425
chr1	143766881	143768881	chr1_143766881_143768881	0.191167	0.514
chr1	143912143	143914143	chr1_143912143_143914143	0.447667	0
chr1	144145812	144147812	chr1_144145812_144147812	0.156375	0.431
chr1	144338738	144340738	chr1_144338738_144340738	0.173542	0
chr1	144363246	144365246	chr1_144363246_144365246	0.124625	0.5095
chr1	1446555	1448555	chr1_1446555_1448555	0.82675	0.2415
chr1	144810748	144812748	chr1_144810748_144812748	0.260833	0.436
chr1	144988309	144990309	chr1_144988309_144990309	1	0.171
chr1	144994022	144996022	chr1_144994022_144996022	0.99875	0.175
chr1	145223599	145225599	chr1_145223599_145225599	0.63925	0.218
chr1	145292371	145294371	chr1_145292371_145294371	0.469583	0.122
chr1	145412278	145414278	chr1_145412278_145414278	0.975208	0.1
chr1	145437469	145439469	chr1_145437469_145439469	1	0.029
chr1	145469387	145471387	chr1_145469387_145471387	0.998667	0.3355
chr1	145469508	145471508	chr1_145469508_145471508	0.998917	0.275
chr1	145476085	145478085	chr1_145476085_145478085	1	0.221
chr1	145506598	145508598	chr1_145506598_145508598	0.911958	0.1855
chr1	145515252	145517252	chr1_145515252_145517252	1	0
chr1	145523891	145525891	chr1_145523891_145525891	0.840542	0.49
chr1	145548230	145550230	chr1_145548230_145550230	0.978125	0.1915
chr1	145574989	145576989	chr1_145574989_145576989	1	0.099
chr1	145588439	145590439	chr1_145588439_145590439	0.959792	0.4245
chr1	145609884	145611884	chr1_145609884_145611884	0.801958	0.1975
chr1	145610036	145612036	chr1_145610036_145612036	0.78275	0.1215
chr1	145705861	145707861	chr1_145705861_145707861	0.946417	0.593
chr1	145742263	145744263	chr1_145742263_145744263	0.897	0.258
chr1	145826073	145828073	chr1_145826073_145828073	0.582833	0.361
chr1	145882868	145884868	chr1_145882868_145884868	0.285375	0.105
chr1	146081633	146083633	chr1_146081633_146083633	0.358125	0.234
chr1	146373056	146375056	chr1_146373056_146375056	0.517875	0.199
chr1	146643123	146645123	chr1_146643123_146645123	0.925	0.151
chr1	146696230	146698230	chr1_146696230_146698230	0.844375	0.364
chr1	146713334	146715334	chr1_146713334_146715334	0.997	0.138
chr1	147012182	147014182	chr1_147012182_147014182	0.964583	0.176
chr1	147141618	147143618	chr1_147141618_147143618	0.884	0.2885
chr1	147244484	147246484	chr1_147244484_147246484	1	0.2115
chr1	147373946	147375946	chr1_147373946_147375946	0.953958	0.3595
chr1	147399506	147401506	chr1_147399506_147401506	0.57725	0.3605
chr1	1474737	1476737	chr1_1474737_1476737	0.9905	0.3695
chr1	147598549	147600549	chr1_147598549_147600549	0.0756667	0.3465
chr1	147631428	147633428	chr1_147631428_147633428	0.44175	0.221
chr1	147954419	147956419	chr1_147954419_147956419	0.1565	0.5095
chr1	148024848	148026848	chr1_148024848_148026848	0.121958	0.0475
chr1	148201536	148203536	chr1_148201536_148203536	0.121083	0.5115
chr1	148346051	148348051	chr1_148346051_148348051	0.199875	0.343
chr1	148559843	148561843	chr1_148559843_148561843	0.554458	0.3675
chr1	148738443	148740443	chr1_148738443_148740443	0.126917	0.3415
chr1	14924200	14926200	chr1_14924200_14926200	1	0.0705
chr1	149399542	149401542	chr1_149399542_149401542	0.515458	0
chr1	149458549	149460549	chr1_149458549_149460549	0.150417	0.1715
chr1	149552003	149554003	chr1_149552003_149554003	0.147708	0.5095
chr1	149674978	149676978	chr1_149674978_149676978	0.557917	0.391
chr1	149753246	149755246	chr1_149753246_149755246	0.43975	0.06
chr1	149782928	149784928	chr1_149782928_149784928	0.497167	0
chr1	149784236	149786236	chr1_149784236_149786236	0.48975	0
chr1	149803227	149805227	chr1_149803227_149805227	0.499667	0.182
chr1	149811765	149813765	chr1_149811765_149813765	0.47	0.023
chr1	149813478	149815478	chr1_149813478_149815478	0.565792	0.037
chr1	149821643	149823643	chr1_149821643_149823643	0.513292	0.037
chr1	149823181	149825181	chr1_149823181_149825181	0.47	0.023
chr1	149831714	149833714	chr1_149831714_149833714	0.499667	0.182
chr1	149857232	149859232	chr1_149857232_149859232	0.844083	0
chr1	149857525	149859525	chr1_149857525_149859525	0.836708	0
chr1	149858440	149860440	chr1_149858440_149860440	0.933042	0.0165
chr1	149858466	149860466	chr1_149858466_149860466	0.933042	0.0165
chr1	149888434	149890434	chr1_149888434_149890434	1	0.0995
chr1	149899236	149901236	chr1_149899236_149901236	1	0
chr1	149907791	149909791	chr1_149907791_149909791	1	0.0835
chr1	149981625	149983625	chr1_149981625_149983625	0.99875	0.127
chr1	150038369	150040369	chr1_150038369_150040369	1	0
chr1	150121170	150123170	chr1_150121170_150123170	1	0.198
chr1	150207504	150209504	chr1_150207504_150209504	0.99825	0.1525
chr1	150228554	150230554	chr1_150228554_150230554	1	0.044
chr1	150239600	150241600	chr1_150239600_150241600	1	0
chr1	150240399	150242399	chr1_150240399_150242399	0.943292	0.148
chr1	150254229	150256229	chr1_150254229_150256229	1	0.027
chr1	150265340	150267340	chr1_150265340_150267340	0.9165	0.1885
chr1	150292925	150294925	chr1_150292925_150294925	0.850667	0.4245
chr1	150336187	150338187	chr1_150336187_150338187	0.956167	0.07
chr1	150458893	150460893	chr1_150458893_150460893	0.966	0.3335
chr1	150479552	150481552	chr1_150479552_150481552	0.887542	0.1525
chr1	150520897	150522897	chr1_150520897_150522897	0.997	0.2595
chr1	150520898	150522898	chr1_150520898_150522898	0.997	0.2595
chr1	150532969	150534969	chr1_150532969_150534969	1	0
chr1	150551066	150553066	chr1_150551066_150553066	0.96525	0.1485
chr1	150601052	150603052	chr1_150601052_150603052	0.896333	0.153
chr1	150668500	150670500	chr1_150668500_150670500	1	0.2075
chr1	150692352	150694352	chr1_150692352_150694352	0.785	0.542
chr1	150737433	150739433	chr1_150737433_150739433	0.908083	0.35
chr1	150779799	150781799	chr1_150779799_150781799	1	0.003
chr1	150848244	150850244	chr1_150848244_150850244	0.849875	0.246
chr1	150897815	150899815	chr1_150897815_150899815	0.887208	0.3075
chr1	1509249	1511249	chr1_1509249_1511249	0.937917	0.2595
chr1	1509355	1511355	chr1_1509355_1511355	0.889042	0.3125
chr1	150946440	150948440	chr1_150946440_150948440	0.898375	0.277
chr1	150953493	150955493	chr1_150953493_150955493	1	0.023
chr1	150979851	150981851	chr1_150979851_150981851	0.9645	0.096
chr1	150979953	150981953	chr1_150979953_150981953	1	0.045
chr1	151008046	151010046	chr1_151008046_151010046	0.881625	0.169
chr1	151019216	151021216	chr1_151019216_151021216	0.908125	0.2
chr1	151029234	151031234	chr1_151029234_151031234	0.873875	0.2795
chr1	151041801	151043801	chr1_151041801_151043801	0.849	0.353
chr1	151042080	151044080	chr1_151042080_151044080	0.812167	0.429
chr1	151117933	151119933	chr1_151117933_151119933	1	0
chr1	151128105	151130105	chr1_151128105_151130105	0.912583	0.214
chr1	151137395	151139395	chr1_151137395_151139395	1	0.0665
chr1	151137518	151139518	chr1_151137518_151139518	1	0.0665
chr1	151147492	151149492	chr1_151147492_151149492	1	0
chr1	151161634	151163634	chr1_151161634_151163634	0.927167	0.44
chr1	151170051	151172051	chr1_151170051_151172051	0.967	0.275
chr1	151226179	151228179	chr1_151226179_151228179	0.809542	0.414
chr1	151253405	151255405	chr1_151253405_151255405	0.975542	0.1375
chr1	151253788	151255788	chr1_151253788_151255788	1	0.023
chr1	151299133	151301133	chr1_151299133_151301133	0.998667	0.076
chr1	151318727	151320727	chr1_151318727_151320727	1	0.0445
chr1	151344209	151346209	chr1_151344209_151346209	0.899417	0.3835
chr1	151371010	151373010	chr1_151371010_151373010	0.882	0.3255
chr1	151430941	151432941	chr1_151430941_151432941	1	0.178
chr1	151482873	151484873	chr1_151482873_151484873	0.996	0.123
chr1	151511781	151513781	chr1_151511781_151513781	1	0
chr1	151583558	151585558	chr1_151583558_151585558	0.997	0.3
chr1	151681909	151683909	chr1_151681909_151683909	1	0.1635
chr1	151688290	151690290	chr1_151688290_151690290	1	0.122
chr1	151693013	151695013	chr1_151693013_151695013	1	0.0415
chr1	151734445	151736445	chr1_151734445_151736445	0.9995	0
chr1	151735040	151737040	chr1_151735040_151737040	1	0.207
chr1	151762892	151764892	chr1_151762892_151764892	0.99975	0.32
chr1	151777630	151779630	chr1_151777630_151779630	0.99675	0.046
chr1	151803348	151805348	chr1_151803348_151805348	1	0.2315
chr1	151812033	151814033	chr1_151812033_151814033	1	0.294
chr1	151825173	151827173	chr1_151825173_151827173	0.827167	0.34
chr1	151881284	151883284	chr1_151881284_151883284	0.987125	0.302
chr1	151965866	151967866	chr1_151965866_151967866	0.913375	0.221
chr1	152008511	152010511	chr1_152008511_152010511	0.827875	0.4045
chr1	152060540	152062540	chr1_152060540_152062540	1	0.0565
chr1	152085556	152087556	chr1_152085556_152087556	1	0
chr1	152130704	152132704	chr1_152130704_152132704	1	0
chr1	152195669	152197669	chr1_152195669_152197669	1	0.225
chr1	152296679	152298679	chr1_152296679_152298679	0.98175	0.4645
chr1	152331482	152333482	chr1_152331482_152333482	1	0.183
chr1	152385739	152387739	chr1_152385739_152387739	0.895917	0.2425
chr1	152482320	152484320	chr1_152482320_152484320	0.932542	0.226
chr1	152485978	152487978	chr1_152485978_152487978	0.988792	0.1445
chr1	152538248	152540248	chr1_152538248_152540248	0.95975	0.3845
chr1	152551980	152553980	chr1_152551980_152553980	0.894	0.3455
chr1	152572138	152574138	chr1_152572138_152574138	0.99325	0.0135
chr1	152585287	152587287	chr1_152585287_152587287	0.887625	0.16
chr1	152594579	152596579	chr1_152594579_152596579	0.9985	0
chr1	152634872	152636872	chr1_152634872_152636872	0.935833	0.195
chr1	152646771	152648771	chr1_152646771_152648771	0.8115	0.1455
chr1	152657599	152659599	chr1_152657599_152659599	0.809333	0.181
chr1	152669840	152671840	chr1_152669840_152671840	0.986083	0.089
chr1	152679636	152681636	chr1_152679636_152681636	1	0.0215
chr1	152690998	152692998	chr1_152690998_152692998	1	0.182
chr1	152729506	152731506	chr1_152729506_152731506	0.884125	0.2585
chr1	152747848	152749848	chr1_152747848_152749848	0.974083	0.276
chr1	152757753	152759753	chr1_152757753_152759753	1	0.2665
chr1	152768227	152770227	chr1_152768227_152770227	0.9995	0
chr1	152778107	152780107	chr1_152778107_152780107	0.946292	0.3075
chr1	152783447	152785447	chr1_152783447_152785447	0.967375	0.052
chr1	152798949	152800949	chr1_152798949_152800949	0.947583	0.1625
chr1	152814344	152816344	chr1_152814344_152816344	1	0.0615
chr1	152849793	152851793	chr1_152849793_152851793	0.971292	0.449
chr1	152880021	152882021	chr1_152880021_152882021	1	0.1495
chr1	152942142	152944142	chr1_152942142_152944142	0.989125	0.2985
chr1	152955557	152957557	chr1_152955557_152957557	1	0.235
chr1	152973223	152975223	chr1_152973223_152975223	1	0.0465
chr1	153002678	153004678	chr1_153002678_153004678	1	0.0615
chr1	153013407	153015407	chr1_153013407_153015407	0.985	0.02
chr1	153029013	153031013	chr1_153029013_153031013	0.896708	0.092
chr1	153043084	153045084	chr1_153043084_153045084	0.826875	0.04
chr1	153077660	153079660	chr1_153077660_153079660	0.946917	0.9995
chr1	153084991	153086991	chr1_153084991_153086991	0.9175	0.0835
chr1	153122345	153124345	chr1_153122345_153124345	0.971	0
